,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.281476,,,,,,,,,
1,292,0.248823,,,,,,,,,
2,417,0.248823,,,,,,,,,
3,542,0.248823,,,,,,,,,
4,667,0.248823,,,,,,,,,
5,792,0.248823,,,,,,,,,
6,917,0.248823,,,,,,,,,
7,1042,0.248823,,,,,,,,,
8,1167,0.248823,,,,,,,,,
9,1292,0.248823,,,,,,,,,
0,274,,0.0419152,,,,,,,,
1,525,,0.0,,,,,,,,
2,776,,0.0,,,,,,,,
3,1026,,0.0,,,,,,,,
4,1277,,0.0,,,,,,,,
0,128,,,0.173469,,,,,,,
1,120,,,0.196075,,,,,,,
2,112,,,0.225746,,,,,,,
3,88,,,0.327473,,,,,,,
4,72,,,0.412245,,,,,,,
0,200,,,,0.0,,,,,,
0,202,,,,,0.537991,,,,,
1,196,,,,,0.543642,,,,,
2,190,,,,,0.544113,,,,,
3,184,,,,,0.551648,,,,,
4,181,,,,,0.571272,,,,,
5,177,,,,,0.57237,,,,,
6,175,,,,,0.549765,,,,,
7,172,,,,,0.573312,,,,,
0,941,,,,,,0.0,,,,
1,941,,,,,,0.0,,,,
2,941,,,,,,0.0,,,,
3,897,,,,,,0.263108,,,,
4,897,,,,,,0.263108,,,,
5,897,,,,,,0.263108,,,,
6,897,,,,,,0.263108,,,,
7,897,,,,,,0.263108,,,,
8,897,,,,,,0.263108,,,,
9,897,,,,,,0.263108,,,,
10,897,,,,,,0.263108,,,,
0,897,,,,,,,0.263108,,,
1,897,,,,,,,0.263108,,,
2,941,,,,,,,0.0,,,
3,941,,,,,,,0.0,,,
4,941,,,,,,,0.0,,,
5,941,,,,,,,0.0,,,
6,941,,,,,,,0.0,,,
7,941,,,,,,,0.0,,,
8,941,,,,,,,0.0,,,
9,941,,,,,,,0.0,,,
10,941,,,,,,,0.0,,,
11,941,,,,,,,0.0,,,
12,941,,,,,,,0.0,,,
13,941,,,,,,,0.0,,,
14,941,,,,,,,0.0,,,
0,849,,,,,,,,0.263108,,
1,857,,,,,,,,0.263108,,
2,865,,,,,,,,0.263108,,
3,873,,,,,,,,0.263108,,
4,881,,,,,,,,0.263108,,
5,881,,,,,,,,0.190895,,
6,889,,,,,,,,0.088854,,
7,897,,,,,,,,0.0351648,,
8,905,,,,,,,,0.0,,
0,849,,,,,,,,,0.263108,
0,909,,,,,,,,,,0.0
