,Memory usage,Rosetta,SuRF Real,Splash,FST
0,3750082,0.435742,,,
1,5000002,0.300146,,,
2,6250082,0.224197,,,
3,7500002,0.16696,,,
4,8750082,0.121325,,,
5,10000002,0.0908509,,,
6,11250082,0.066558,,,
7,12500002,0.0506961,,,
8,13750082,0.0372245,,,
9,15000002,0.0270832,,,
0,220827,,0.0566368,,
0,870338,,,0.0,
1,870024,,,0.0,
2,743521,,,0.0,
3,626287,,,2.00024e-05,
4,531036,,,2.00024e-05,
5,449883,,,2.00024e-05,
6,388464,,,2.00024e-05,
7,334618,,,2.00024e-05,
8,286309,,,2.00024e-05,
9,245317,,,6.00072e-05,
10,223153,,,8.00096e-05,
11,217574,,,0.000120014,
12,212494,,,0.000360043,
13,211145,,,0.000610073,
14,210750,,,0.00301036,
15,210558,,,0.00655079,
16,210260,,,0.0125115,
17,209852,,,0.0566468,
18,209852,,,0.0566468,
19,209852,,,0.0566468,
0,871567,,,,1.00012e-05
