,Memory usage,Rosetta,SuRF Real,Splash,FST
0,3750034,0.908628,,,
1,5000114,0.8283,,,
2,6249986,0.659603,,,
3,7500066,0.546517,,,
4,8750146,0.454676,,,
5,10000018,0.339226,,,
6,11250098,0.271805,,,
7,12500178,0.218984,,,
8,13750050,0.159528,,,
9,15000130,0.128197,,,
0,211856,,0.360748,,
0,901031,,,0.0199889,
1,900126,,,0.0208515,
2,781563,,,0.0475283,
3,694947,,,0.0687206,
4,607749,,,0.100754,
5,535622,,,0.130583,
6,480416,,,0.156717,
7,428186,,,0.186365,
8,378123,,,0.218451,
9,327098,,,0.256501,
10,284869,,,0.296671,
11,228842,,,0.314881,
12,208160,,,0.341782,
13,198122,,,0.358565,
14,193316,,,0.368214,
15,190592,,,0.374326,
16,190172,,,0.375807,
17,190152,,,0.376062,
18,190152,,,0.376062,
19,190152,,,0.376062,
0,904952,,,,0.0398607
