,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.998356,,,,,,,
1,137534,0.987912,,,,,,,
2,262534,0.967266,,,,,,,
3,387534,0.955904,,,,,,,
4,512534,0.952229,,,,,,,
5,637534,0.950295,,,,,,,
6,762534,0.94957,,,,,,,
7,887534,0.949618,,,,,,,
0,3750381,,0.454647,,,,,,
1,5000369,,0.301131,,,,,,
2,6250363,,0.219805,,,,,,
3,7500366,,0.168021,,,,,,
4,8750381,,0.119621,,,,,,
5,10000369,,0.0885311,,,,,,
6,11250396,,0.0642588,,,,,,
7,12500373,,0.0476743,,,,,,
0,625219,,,0.996809,,,,,
1,1875218,,,0.415724,,,,,
2,3125220,,,0.226332,,,,,
3,4375215,,,0.126003,,,,,
4,5625220,,,0.0682236,,,,,
0,590284,,,,4.83512e-05,,,,
1,491425,,,,0.267769,,,,
2,368268,,,,0.555362,,,,
3,290820,,,,0.711682,,,,
4,237296,,,,0.795184,,,,
5,207426,,,,0.828837,,,,
6,197436,,,,0.837878,,,,
7,194398,,,,0.839426,,,,
8,193953,,,,0.839571,,,,
9,193953,,,,0.839571,,,,
10,193953,,,,0.839571,,,,
0,193953,,,,,0.839571,,,
1,193953,,,,,0.839571,,,
2,211293,,,,,0.808432,,,
3,241809,,,,,0.736002,,,
4,282354,,,,,0.629775,,,
5,334721,,,,,0.502176,,,
6,388329,,,,,0.374722,,,
7,441302,,,,,0.266319,,,
8,487683,,,,,0.171889,,,
9,527699,,,,,0.0986365,,,
10,555750,,,,,0.0515424,,,
11,573068,,,,,0.0231119,,,
12,582666,,,,,0.00938014,,,
13,587588,,,,,0.00285272,,,
14,589557,,,,,0.000628566,,,
0,239527,,,,,,0.788512,,
1,252031,,,,,,0.788512,,
2,264535,,,,,,0.788512,,
3,277039,,,,,,0.785756,,
4,289527,,,,,,0.785756,,
5,302031,,,,,,0.745769,,
6,314535,,,,,,0.701963,,
7,327031,,,,,,0.677739,,
8,339527,,,,,,0.663911,,
0,239527,,,,,,,0.788512,
0,604661,,,,,,,,0.0516875
