,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.991019,,,,,,,
2,262534,0.973088,,,,,,,
3,387534,0.9634,,,,,,,
4,512534,0.959455,,,,,,,
5,637534,0.958159,,,,,,,
6,762534,0.957511,,,,,,,
7,887534,0.957305,,,,,,,
0,3750381,,0.482952,,,,,,
1,5000369,,0.298981,,,,,,
2,6250363,,0.219922,,,,,,
3,7500366,,0.164949,,,,,,
4,8750381,,0.118161,,,,,,
5,10000369,,0.0916024,,,,,,
6,11250396,,0.0651611,,,,,,
7,12500373,,0.0501737,,,,,,
0,625219,,,0.999176,,,,,
1,1875218,,,0.413315,,,,,
2,3125220,,,0.227578,,,,,
3,4375215,,,0.125228,,,,,
4,5625220,,,0.0688711,,,,,
0,590284,,,,0.000206113,,,,
1,491425,,,,0.883105,,,,
2,368268,,,,0.915464,,,,
3,290820,,,,0.935958,,,,
4,237296,,,,0.940227,,,,
5,207426,,,,0.941582,,,,
6,197436,,,,0.941788,,,,
7,194398,,,,0.941788,,,,
8,193953,,,,0.941788,,,,
9,193953,,,,0.941788,,,,
10,193953,,,,0.941788,,,,
0,193953,,,,,0.941788,,,
1,193953,,,,,0.941788,,,
2,211293,,,,,0.858047,,,
3,241809,,,,,0.70997,,,
4,282354,,,,,0.561952,,,
5,334721,,,,,0.412432,,,
6,388329,,,,,0.292621,,,
7,441302,,,,,0.195866,,,
8,487683,,,,,0.123903,,,
9,527699,,,,,0.0678405,,,
10,555750,,,,,0.0338319,,,
11,573068,,,,,0.0157823,,,
12,582666,,,,,0.00662505,,,
13,587588,,,,,0.00247335,,,
14,589557,,,,,0.000853896,,,
0,239527,,,,,,0.900536,,
1,252031,,,,,,0.900536,,
2,264535,,,,,,0.900536,,
3,277039,,,,,,0.899888,,
4,289527,,,,,,0.899888,,
5,302031,,,,,,0.866527,,
6,314535,,,,,,0.830222,,
7,327031,,,,,,0.812614,,
8,339527,,,,,,0.799953,,
0,239527,,,,,,,0.900536,
0,604661,,,,,,,,0.0812967
