,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.974418,,,,,,,
1,137534,0.249687,,,,,,,
0,3750381,,0.414156,,,,,,
1,5000369,,0.296214,,,,,,
2,6250363,,0.220586,,,,,,
3,7500366,,0.164723,,,,,,
4,8750381,,0.118522,,,,,,
5,10000369,,0.0898631,,,,,,
6,11250396,,0.0642497,,,,,,
7,12500373,,0.0482241,,,,,,
0,625219,,,0.999199,,,,,
1,1875218,,,0.413324,,,,,
2,3125220,,,0.224431,,,,,
3,4375215,,,0.124685,,,,,
4,5625220,,,0.0684325,,,,,
0,590284,,,,0.0,,,,
1,491425,,,,0.0,,,,
2,368268,,,,9.48257e-05,,,,
3,290820,,,,0.000811286,,,,
4,237296,,,,0.0024444,,,,
5,207426,,,,0.0151089,,,,
6,197436,,,,0.0513007,,,,
7,194398,,,,0.164575,,,,
8,193953,,,,0.294739,,,,
9,193953,,,,0.294739,,,,
10,193953,,,,0.294739,,,,
0,193953,,,,,0.294739,,,
1,193953,,,,,0.294739,,,
2,211293,,,,,0.294729,,,
3,241809,,,,,0.294381,,,
4,282354,,,,,0.291715,,,
5,334721,,,,,0.288017,,,
6,388329,,,,,0.284582,,,
7,441302,,,,,0.272761,,,
8,487683,,,,,0.251615,,,
9,527699,,,,,0.220364,,,
10,555750,,,,,0.179832,,,
11,573068,,,,,0.137002,,,
12,582666,,,,,0.092455,,,
13,587588,,,,,0.0499626,,,
14,589557,,,,,0.0163732,,,
0,239527,,,,,,0.286995,,
1,252031,,,,,,0.286995,,
2,264535,,,,,,0.286995,,
3,277039,,,,,,0.286795,,
4,289527,,,,,,0.286795,,
5,302031,,,,,,0.188482,,
6,314535,,,,,,0.103054,,
7,327031,,,,,,0.0594978,,
8,339527,,,,,,0.0296699,,
0,239527,,,,,,,0.286995,
0,604661,,,,,,,,0.000252868
