,Memory usage,Rosetta,LilRosetta,Splash,SuRF Real,FST
0,3750312,0.38419,,,,
1,5000303,0.265028,,,,
2,6250309,0.19285,,,,
3,7500308,0.13554,,,,
4,8750310,0.0987514,,,,
5,10000312,0.0698363,,,,
6,11250319,0.0507264,,,,
7,12500298,0.0362789,,,,
0,625229,,0.997299,,,
1,1875232,,0.457638,,,
2,3125235,,0.270391,,,
3,4375221,,0.160193,,,
4,5625226,,0.0962701,,,
0,901031,,,1.00052e-05,,
1,900126,,,1.00052e-05,,
2,781563,,,1.00052e-05,,
3,694947,,,1.00052e-05,,
4,607749,,,2.00104e-05,,
5,535622,,,2.00104e-05,,
6,480416,,,4.00208e-05,,
7,428186,,,0.000140073,,
8,378123,,,0.000160083,,
9,327098,,,0.000380198,,
10,284869,,,0.00122063,,
11,228842,,,0.00178093,,
12,208160,,,0.00848441,,
13,198122,,,0.0162785,,
14,193316,,,0.0428823,,
15,190592,,,0.103234,,
16,190172,,,0.149078,,
17,190152,,,0.177412,,
18,190152,,,0.177412,,
19,190152,,,0.177412,,
0,211856,,,,0.17346,
0,904952,,,,,8.00416e-05
