,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.994691,,,,,,,,,,,,
1,137534,0.166284,,,,,,,,,,,,
2,262534,0.102193,,,,,,,,,,,,
3,387534,0.0820902,,,,,,,,,,,,
4,512534,0.0647403,,,,,,,,,,,,
0,869888,,0.00835026,,,,,,,,,,,
1,743068,,0.0303186,,,,,,,,,,,
2,530884,,0.0777708,,,,,,,,,,,
3,388781,,0.174459,,,,,,,,,,,
4,277016,,0.33534,,,,,,,,,,,
5,225929,,0.461738,,,,,,,,,,,
6,215313,,0.500727,,,,,,,,,,,
7,213578,,0.508871,,,,,,,,,,,
8,213142,,0.509922,,,,,,,,,,,
9,212670,,0.510005,,,,,,,,,,,
10,212670,,0.510005,,,,,,,,,,,
0,212670,,,0.510005,,,,,,,,,,
1,212670,,,0.510005,,,,,,,,,,
2,219796,,,0.497778,,,,,,,,,,
3,243242,,,0.468429,,,,,,,,,,
4,291551,,,0.419997,,,,,,,,,,
5,371122,,,0.351855,,,,,,,,,,
6,475848,,,0.269899,,,,,,,,,,
7,607638,,,0.18718,,,,,,,,,,
8,707778,,,0.1151,,,,,,,,,,
9,783350,,,0.0624929,,,,,,,,,,
10,829066,,,0.0326897,,,,,,,,,,
11,852792,,,0.017783,,,,,,,,,,
12,863281,,,0.0115151,,,,,,,,,,
13,867227,,,0.00941208,,,,,,,,,,
14,869183,,,0.00857705,,,,,,,,,,
0,220527,,,,0.501871,,,,,,,,,
0,878551,,,,,0.0594621,,,,,,,,
1,834461,,,,,0.0600497,,,,,,,,
2,797709,,,,,0.0604311,,,,,,,,
3,766303,,,,,0.0614311,,,,,,,,
4,739431,,,,,0.0622764,,,,,,,,
5,716157,,,,,0.0628022,,,,,,,,
6,695804,,,,,0.0637815,,,,,,,,
7,677733,,,,,0.0640702,,,,,,,,
8,661670,,,,,0.0645444,,,,,,,,
9,647301,,,,,0.0655856,,,,,,,,
0,884730,,,,,,0.0595446,,,,,,,
1,841119,,,,,,0.0596889,,,,,,,
2,804777,,,,,,0.0605961,,,,,,,
3,774026,,,,,,0.0610909,,,,,,,
4,747668,,,,,,0.0618022,,,,,,,
5,724825,,,,,,0.0626579,,,,,,,
6,704837,,,,,,0.0629774,,,,,,,
7,687200,,,,,,0.0642454,,,,,,,
8,671523,,,,,,0.0646784,,,,,,,
9,657497,,,,,,0.0649671,,,,,,,
0,804777,,,,,,,0.0676371,,,,,,
1,761167,,,,,,,0.0684309,,,,,,
2,724825,,,,,,,0.069369,,,,,,
3,694074,,,,,,,0.0699566,,,,,,
4,667716,,,,,,,0.0704927,,,,,,
5,644872,,,,,,,0.0718534,,,,,,
6,624884,,,,,,,0.0721936,,,,,,
7,607248,,,,,,,0.0737194,,,,,,
8,591571,,,,,,,0.0742348,,,,,,
9,577544,,,,,,,0.0751214,,,,,,
0,724825,,,,,,,,0.0808119,,,,,
1,681214,,,,,,,,0.0824614,,,,,
2,644872,,,,,,,,0.0839252,,,,,
3,614122,,,,,,,,0.0850798,,,,,
4,587764,,,,,,,,0.0859458,,,,,
5,564920,,,,,,,,0.0875643,,,,,
6,544932,,,,,,,,0.0882344,,,,,
7,527295,,,,,,,,0.0902962,,,,,
8,511618,,,,,,,,0.091224,,,,,
9,497592,,,,,,,,0.0928116,,,,,
0,907959,,,,,,,,,0.0593899,,,,
1,865756,,,,,,,,,0.0602971,,,,
2,830587,,,,,,,,,0.0606373,,,,
3,800829,,,,,,,,,0.0611631,,,,
4,775322,,,,,,,,,0.0620084,,,,
5,753216,,,,,,,,,0.0625548,,,,
6,733873,,,,,,,,,0.0639568,,,,
7,716806,,,,,,,,,0.0643073,,,,
8,701635,,,,,,,,,0.0647918,,,,
9,688061,,,,,,,,,0.0656887,,,,
0,830587,,,,,,,,,,0.0673897,,,
1,788384,,,,,,,,,,0.0686577,,,
2,753216,,,,,,,,,,0.0692247,,,
3,723458,,,,,,,,,,0.0696989,,,
4,697951,,,,,,,,,,0.0713277,,,
5,675844,,,,,,,,,,0.0716679,,,
6,656501,,,,,,,,,,0.0732452,,,
7,639434,,,,,,,,,,0.0738534,,,
8,624263,,,,,,,,,,0.0740905,,,
9,610690,,,,,,,,,,0.0754307,,,
0,753216,,,,,,,,,,,0.0808016,,
1,711013,,,,,,,,,,,0.0825335,,
2,675844,,,,,,,,,,,0.0837294,,
3,646086,,,,,,,,,,,0.0848118,,
4,620579,,,,,,,,,,,0.0864819,,
5,598473,,,,,,,,,,,0.0874921,,
6,579130,,,,,,,,,,,0.0897704,,
7,562063,,,,,,,,,,,0.0901725,,
8,546892,,,,,,,,,,,0.0919353,,
9,533318,,,,,,,,,,,0.0927291,,
0,220527,,,,0.501871,,,,,,,,,
1,233031,,,,0.501871,,,,,,,,,
2,245535,,,,0.497995,,,,,,,,,
3,258031,,,,0.497995,,,,,,,,,
4,270535,,,,0.31498,,,,,,,,,
5,283039,,,,0.226436,,,,,,,,,
6,295535,,,,0.17652,,,,,,,,,
7,308039,,,,0.150006,,,,,,,,,
8,320535,,,,0.136625,,,,,,,,,
0,220527,,,,,,,,,,,,0.501871,
0,871006,,,,,,,,,,,,,0.0171644
