,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.956586,,,,,,
1,137534,0.0266485,,,,,,
2,262534,0.00610195,,,,,,
3,387534,0.00263084,,,,,,
4,512534,0.0015705,,,,,,
5,637534,0.00105034,,,,,,
6,762534,0.000660211,,,,,,
7,887534,0.000510163,,,,,,
0,869888,,0.0,,,,,
1,743068,,0.0,,,,,
2,530884,,0.0,,,,,
3,388781,,0.0,,,,,
4,277016,,2.00064e-05,,,,,
5,225929,,0.000110035,,,,,
6,215313,,0.000380122,,,,,
7,213578,,0.00172055,,,,,
8,213142,,0.00992318,,,,,
9,212670,,0.090779,,,,,
10,212670,,0.090779,,,,,
0,212670,,,0.090779,,,,
1,212670,,,0.090779,,,,
2,219796,,,0.090779,,,,
3,243242,,,0.090779,,,,
4,291551,,,0.090759,,,,
5,371122,,,0.090739,,,,
6,475848,,,0.090719,,,,
7,607638,,,0.090589,,,,
8,707778,,,0.0903789,,,,
9,783350,,,0.0900488,,,,
10,829066,,,0.0895186,,,,
11,852792,,,0.087348,,,,
12,863281,,,0.0819562,,,,
13,867227,,,0.0802657,,,,
14,869183,,,0.00166053,,,,
0,878551,,,,0.00133043,,,
1,834461,,,,0.00134043,,,
2,797709,,,,0.00136044,,,
3,766303,,,,0.00139044,,,
4,739431,,,,0.00151048,,,
5,716157,,,,0.00141045,,,
6,695804,,,,0.00146047,,,
7,677733,,,,0.00153049,,,
8,661670,,,,0.00150048,,,
9,647301,,,,0.00165053,,,
0,220527,,,,,0.0907891,,
1,233031,,,,,0.0907891,,
2,245535,,,,,0.090779,,
3,258031,,,,,0.090779,,
4,270535,,,,,0.046765,,
5,283039,,,,,0.028069,,
6,295535,,,,,0.0143246,,
7,308039,,,,,0.00724232,,
8,320535,,,,,0.00359115,,
0,220527,,,,,,0.0907891,
0,871006,,,,,,,0.0
