,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.994903,,,,,,
1,137534,0.128855,,,,,,
2,262534,0.0395838,,,,,,
3,387534,0.0202075,,,,,,
4,512534,0.0124469,,,,,,
0,898388,,0.0,,,,,
1,779272,,0.0,,,,,
2,608189,,0.0,,,,,
3,480431,,4.00545e-05,,,,,
4,366533,,0.000120163,,,,,
5,287949,,0.00102139,,,,,
6,212314,,0.0061784,,,,,
7,197333,,0.0402347,,,,,
8,194173,,0.137797,,,,,
9,194152,,0.160979,,,,,
10,194152,,0.160979,,,,,
0,194152,,,0.160979,,,,
1,194152,,,0.160979,,,,
2,203550,,,0.160979,,,,
3,225354,,,0.160939,,,,
4,299718,,,0.160889,,,,
5,355524,,,0.160398,,,,
6,426221,,,0.159207,,,,
7,509967,,,0.156733,,,,
8,599004,,,0.148953,,,,
9,688471,,,0.135294,,,,
10,765013,,,0.114376,,,,
11,823814,,,0.0830229,,,,
12,862709,,,0.0584895,,,,
13,884009,,,0.0380618,,,,
14,894343,,,0.01469,,,,
0,894646,,,,0.0112253,,,
1,849808,,,,0.0113354,,,
2,812285,,,,0.0116458,,,
3,780391,,,,0.0118361,,,
4,753149,,,,0.011746,,,
5,729390,,,,0.0121766,,,
6,708561,,,,0.0119362,,,
7,690223,,,,0.0126472,,,
8,673733,,,,0.0126272,,,
9,659051,,,,0.0126472,,,
0,211706,,,,,0.160398,,
1,224210,,,,,0.160398,,
2,274268,,,,,0.160398,,
3,286772,,,,,0.160398,,
4,299268,,,,,0.0836137,,
5,311772,,,,,0.044851,,
6,324268,,,,,0.0234819,,
7,336772,,,,,0.0118361,,
8,349268,,,,,0.00610831,,
0,211706,,,,,,0.160398,
0,902388,,,,,,,1.00136e-05
