,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,901590,0.0,,,,,,
1,782117,0.0,,,,,,
2,610588,1.00184e-05,,,,,,
3,481997,5.00922e-05,,,,,,
4,367496,0.000160295,,,,,,
5,288111,0.00136251,,,,,,
6,212583,0.00730344,,,,,,
7,197944,0.0422377,,,,,,
8,194860,0.134788,,,,,,
9,194836,0.158201,,,,,,
10,194836,0.158201,,,,,,
0,194836,,0.158201,,,,,
1,194836,,0.158201,,,,,
2,204056,,0.158201,,,,,
3,226002,,0.158151,,,,,
4,301079,,0.157961,,,,,
5,355715,,0.15734,,,,,
6,427964,,0.156117,,,,,
7,512632,,0.152921,,,,,
8,602912,,0.147061,,,,,
9,693307,,0.132834,,,,,
10,770755,,0.113589,,,,,
11,829126,,0.0919392,,,,,
12,866972,,0.0601607,,,,,
13,887740,,0.0268193,,,,,
14,897770,,0.00910676,,,,,
0,212115,,,2.00369e-05,,,,
1,224615,,,2.00369e-05,,,,
2,237115,,,2.00369e-05,,,,
3,249615,,,2.00369e-05,,,,
4,262115,,,2.00369e-05,,,,
5,274615,,,2.00369e-05,,,,
0,12534,,,,0.995542,,,
1,75034,,,,0.314469,,,
2,137534,,,,0.127414,,,
3,200034,,,,0.0669432,,,
4,262534,,,,0.0397431,,,
5,325034,,,,0.0279815,,,
6,387534,,,,0.0214094,,,
7,450034,,,,0.0167007,,,
0,211693,,,,,0.15765,,
1,224197,,,,,0.15765,,
2,274364,,,,,0.1576,,
3,286868,,,,,0.1576,,
4,299364,,,,,0.080438,,
5,311868,,,,,0.0436203,,
6,324364,,,,,0.0228821,,
7,336860,,,,,0.0121323,,
8,349364,,,,,0.00644185,,
0,211693,,,,,,0.15765,
0,905455,,,,,,,0.0
