,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Bloomed CHaREQ sat.=0.5,Bloomed CHaREQ sat.=0.7,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,137534,0.98986,,,,,,,,
2,262534,0.955579,,,,,,,,
3,387534,0.923067,,,,,,,,
4,512534,0.907056,,,,,,,,
5,637534,0.901293,,,,,,,,
6,762534,0.899344,,,,,,,,
7,887534,0.898638,,,,,,,,
0,554769,,0.0,,,,,,,
1,538187,,0.133228,,,,,,,
2,508803,,0.139267,,,,,,,
3,383488,,0.436573,,,,,,,
4,326570,,0.464421,,,,,,,
5,252256,,0.559505,,,,,,,
6,236790,,0.569059,,,,,,,
7,233781,,0.570243,,,,,,,
8,233298,,0.570458,,,,,,,
9,232890,,0.570458,,,,,,,
10,232890,,0.570458,,,,,,,
0,232890,,,0.570458,,,,,,
1,232890,,,0.570458,,,,,,
2,233303,,,0.567433,,,,,,
3,234701,,,0.561634,,,,,,
4,238237,,,0.5522,,,,,,
5,258137,,,0.496909,,,,,,
6,289740,,,0.425345,,,,,,
7,331461,,,0.34504,,,,,,
8,377459,,,0.268872,,,,,,
9,440763,,,0.161065,,,,,,
10,489364,,,0.0864034,,,,,,
11,523561,,,0.0383112,,,,,,
12,541967,,,0.0151738,,,,,,
13,550288,,,0.00496227,,,,,,
14,553359,,,0.00143487,,,,,,
0,452478,,,,0.134077,,,,,
0,575538,,,,,0.532362,,,,
1,546477,,,,,0.549174,,,,
2,522329,,,,,0.563356,,,,
3,501634,,,,,0.576832,,,,
4,484108,,,,,0.588992,,,,
5,468776,,,,,0.604525,,,,
6,455288,,,,,0.620607,,,,
7,443272,,,,,0.626837,,,,
8,432736,,,,,0.639966,,,,
9,423132,,,,,0.653801,,,,
0,146188,,,,,,1.0,,,
1,271188,,,,,,1.0,,,
2,396188,,,,,,1.0,,,
3,521188,,,,,,1.0,,,
4,646188,,,,,,1.0,,,
5,771188,,,,,,1.0,,,
6,896188,,,,,,1.0,,,
7,1021188,,,,,,1.0,,,
0,123489,,,,,,,1.0,,
1,248489,,,,,,,1.0,,
2,373489,,,,,,,1.0,,
3,498489,,,,,,,1.0,,
4,623489,,,,,,,1.0,,
5,748489,,,,,,,1.0,,
6,873489,,,,,,,1.0,,
7,998489,,,,,,,1.0,,
0,452478,,,,0.134077,,,,,
1,464990,,,,0.134077,,,,,
2,477486,,,,0.134065,,,,,
3,489990,,,,0.134065,,,,,
4,502486,,,,0.132594,,,,,
5,514982,,,,0.131399,,,,,
6,527486,,,,0.130968,,,,,
7,539982,,,,0.130837,,,,,
8,552478,,,,0.130789,,,,,
0,452478,,,,,,,,0.134077,
0,554797,,,,,,,,,0.000490249
