,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Bloomed CHaREQ sat.=0.5,Bloomed CHaREQ sat.=0.7,SuRF Base,FST
0,12534,0.993137,,,,,,,,
1,137534,0.0330629,,,,,,,,
2,262534,0.00530207,,,,,,,,
3,387534,0.00267104,,,,,,,,
4,512534,0.00159062,,,,,,,,
5,637534,0.000990386,,,,,,,,
6,762534,0.000810316,,,,,,,,
7,887534,0.000440172,,,,,,,,
0,870078,,0.0,,,,,,,
1,743300,,0.0,,,,,,,
2,530729,,0.0,,,,,,,
3,388765,,2.00078e-05,,,,,,,
4,276913,,3.00117e-05,,,,,,,
5,225674,,6.00234e-05,,,,,,,
6,215370,,0.000340133,,,,,,,
7,213709,,0.00171067,,,,,,,
8,213219,,0.0117746,,,,,,,
9,212947,,0.0171767,,,,,,,
10,212947,,0.0171767,,,,,,,
0,212947,,,0.0171767,,,,,,
1,212947,,,0.0171767,,,,,,
2,219962,,,0.0171767,,,,,,
3,243522,,,0.0171767,,,,,,
4,291883,,,0.0171667,,,,,,
5,370982,,,0.0171367,,,,,,
6,475389,,,0.0171267,,,,,,
7,589281,,,0.0169866,,,,,,
8,708737,,,0.0166565,,,,,,
9,783952,,,0.0163964,,,,,,
10,829982,,,0.0144456,,,,,,
11,853898,,,0.0120247,,,,,,
12,863853,,,0.00685267,,,,,,
13,868101,,,0.0033213,,,,,,
14,869478,,,0.00161063,,,,,,
0,220815,,,,0.0171767,,,,,
0,878595,,,,,0.00130051,,,,
1,834632,,,,,0.00131051,,,,
2,797683,,,,,0.00143056,,,,
3,766408,,,,,0.00134052,,,,
4,739603,,,,,0.00143056,,,,
5,716390,,,,,0.00142055,,,,
6,695840,,,,,0.00139054,,,,
7,677828,,,,,0.00147057,,,,
8,661795,,,,,0.00152059,,,,
9,647146,,,,,0.0015406,,,,
0,149463,,,,,,0.985654,,,
1,274463,,,,,,0.0639349,,,
2,399463,,,,,,0.0395354,,,
3,524463,,,,,,0.0355339,,,
4,649463,,,,,,0.0343034,,,
5,774463,,,,,,0.0339833,,,
6,899463,,,,,,0.0339232,,,
7,1024463,,,,,,0.0339132,,,
0,127847,,,,,,,0.986145,,
1,252847,,,,,,,0.0825022,,
2,377847,,,,,,,0.0545613,,
3,502847,,,,,,,0.0494493,,
4,627847,,,,,,,0.0474585,,
5,752847,,,,,,,0.0472284,,
6,877847,,,,,,,0.0470684,,
7,1002847,,,,,,,0.0471084,,
0,220815,,,,0.0171767,,,,,
1,233319,,,,0.0171767,,,,,
2,245823,,,,0.0171767,,,,,
3,258319,,,,0.0171767,,,,,
4,270823,,,,0.00925361,,,,,
5,283319,,,,0.00516201,,,,,
6,295823,,,,0.00272106,,,,,
7,308319,,,,0.00152059,,,,,
8,320823,,,,0.000860336,,,,,
0,220815,,,,,,,,0.0171767,
0,871254,,,,,,,,,0.0
