,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.95567,,,,
1,75034,0.807421,,,,
2,137534,0.658723,,,,
3,200034,0.501411,,,,
4,262534,0.439875,,,,
5,325034,0.422712,,,,
6,387534,0.418159,,,,
7,450034,0.41724,,,,
0,217875,,0.227397,,,
1,197684,,0.275275,,,
2,159131,,0.471829,,,
3,149917,,0.54029,,,
4,147692,,0.55803,,,
5,147326,,0.56145,,,
6,147254,,0.562113,,,
7,147243,,0.562284,,,
8,147242,,0.562284,,,
9,147242,,0.562284,,,
10,147242,,0.562284,,,
11,147242,,0.562284,,,
12,147242,,0.562284,,,
13,147242,,0.562284,,,
14,147242,,0.562284,,,
15,147242,,0.562284,,,
16,147242,,0.562284,,,
17,147242,,0.562284,,,
18,147242,,0.562284,,,
19,147242,,0.562284,,,
0,196547,,,0.671013,,
0,333274,,,,0.447869,
1,302985,,,,0.457616,
2,277744,,,,0.468388,
3,256387,,,,0.47837,
4,238080,,,,0.48756,
5,222215,,,,0.498739,
6,208332,,,,0.506605,
7,196083,,,,0.516394,
8,185195,,,,0.52458,
9,175453,,,,0.535523,
0,246245,,,,,0.468324
