,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.999849,,,,
1,75034,0.996382,,,,
2,137534,0.983547,,,,
3,200034,0.96326,,,,
4,262534,0.93899,,,,
5,325034,0.916765,,,,
6,387534,0.899451,,,,
7,450034,0.88892,,,,
0,554769,,0.0,,,
1,554502,,0.000387639,,,
2,538187,,0.0368041,,,
3,522866,,0.0539464,,,
4,441939,,0.209519,,,
5,395986,,0.299171,,,
6,368516,,0.340196,,,
7,326949,,0.4115,,,
8,262769,,0.539205,,,
9,217414,,0.619877,,,
10,193432,,0.657306,,,
11,185771,,0.668203,,,
12,178030,,0.677528,,,
13,175898,,0.679444,,,
14,175319,,0.679961,,,
15,175115,,0.680155,,,
16,174834,,0.680155,,,
17,174562,,0.680155,,,
18,174562,,0.680155,,,
19,174562,,0.680155,,,
0,452478,,,0.111834,,
0,841916,,,,0.521675,
1,765387,,,,0.534166,
2,701614,,,,0.548013,
3,647652,,,,0.564402,
4,601398,,,,0.576354,
5,561312,,,,0.591515,
6,526237,,,,0.603037,
7,495288,,,,0.612275,
8,467778,,,,0.62427,
9,443163,,,,0.639582,
0,554797,,,,,0.000150748
