,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.998932,,,,
2,137534,0.99458,,,,
3,200034,0.986182,,,,
4,262534,0.973207,,,,
5,325034,0.957521,,,,
6,387534,0.938878,,,,
7,450034,0.922494,,,,
0,901590,,0.0,,,
1,900727,,0.00659056,,,
2,782117,,0.944606,,,
3,695685,,0.954379,,,
4,608932,,0.961339,,,
5,535826,,0.965754,,,
6,480784,,0.968443,,,
7,428634,,0.970435,,,
8,378144,,0.972016,,,
9,327201,,0.972734,,,
10,284416,,0.973227,,,
11,228789,,0.973289,,,
12,208152,,0.97333,,,
13,198086,,0.973412,,,
14,193307,,0.973412,,,
15,190653,,0.973412,,,
16,190231,,0.973412,,,
17,190224,,0.973412,,,
18,190224,,0.973412,,,
19,190224,,0.973412,,,
0,211693,,,0.952511,,
0,1312027,,,,0.521024,
1,1192763,,,,0.536135,
2,1093376,,,,0.546462,
3,1009279,,,,0.563134,
4,937197,,,,0.578491,
5,874725,,,,0.594259,
6,820062,,,,0.604771,
7,771831,,,,0.612963,
8,728958,,,,0.628773,
9,690598,,,,0.638012,
0,905455,,,,,0.0227077
