,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,1.0,,,,,
1,75034,0.989048,,,,,
2,137534,0.956622,,,,,
3,200034,0.92737,,,,,
4,262534,0.911813,,,,,
5,325034,0.905657,,,,,
6,387534,0.903056,,,,,
7,450034,0.902221,,,,,
0,294013,,0.0,,,,
1,293886,,0.00217127,,,,
2,285742,,0.132209,,,,
3,278206,,0.138245,,,,
4,237268,,0.403188,,,,
5,213174,,0.492377,,,,
6,198824,,0.502517,,,,
7,176951,,0.557562,,,,
8,142599,,0.675264,,,,
9,114997,,0.739806,,,,
10,98929,,0.76128,,,,
11,89583,,0.770681,,,,
12,83634,,0.776884,,,,
13,81981,,0.777099,,,,
14,81549,,0.777099,,,,
15,81392,,0.777099,,,,
16,81375,,0.777099,,,,
17,81373,,0.777099,,,,
18,81309,,0.777099,,,,
19,81309,,0.777099,,,,
0,239560,,,0.132925,,,
0,442647,,,,0.536756,,
1,402416,,,,0.554413,,
2,368890,,,,0.568514,,
3,340522,,,,0.586051,,
4,316206,,,,0.595595,,
5,295133,,,,0.608504,,
6,276694,,,,0.620863,,
7,260424,,,,0.639259,,
8,245962,,,,0.646704,,
9,233022,,,,0.661521,,
0,442753,,,,,0.536733,
1,402522,,,,,0.554389,
2,368996,,,,,0.568514,
3,340628,,,,,0.586051,
4,316312,,,,,0.595595,
5,295239,,,,,0.608504,
6,276800,,,,,0.620839,
7,260530,,,,,0.639236,
8,246068,,,,,0.646704,
9,233128,,,,,0.661425,
0,294015,,,,,,0.000334041
