,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.999014,,,,,
1,75034,0.997165,,,,,
2,137534,0.989935,,,,,
3,200034,0.97453,,,,,
4,262534,0.957522,,,,,
5,325034,0.935995,,,,,
6,387534,0.914592,,,,,
7,450034,0.899228,,,,,
0,735435,,0.0,,,,
1,735280,,8.21625e-05,,,,
2,670271,,0.169748,,,,
3,622864,,0.271629,,,,
4,569742,,0.390395,,,,
5,521117,,0.488703,,,,
6,481000,,0.564826,,,,
7,438552,,0.637992,,,,
8,393297,,0.707214,,,,
9,339098,,0.782064,,,,
10,274235,,0.863733,,,,
11,217393,,0.897338,,,,
12,165698,,0.945239,,,,
13,125448,,0.975433,,,,
14,99273,,0.988908,,,,
15,87450,,0.992729,,,,
16,86820,,0.992852,,,,
17,86820,,0.992852,,,,
18,86820,,0.992852,,,,
19,86820,,0.992852,,,,
0,86779,,,0.992852,,,
0,1078115,,,,0.525265,,
1,980115,,,,0.538781,,
2,898449,,,,0.558705,,
3,829347,,,,0.571071,,
4,770117,,,,0.585819,,
5,718784,,,,0.596294,,
6,673867,,,,0.610796,,
7,634235,,,,0.624353,,
8,599007,,,,0.63298,,
9,567487,,,,0.644195,,
0,1079441,,,,,0.525142,
1,981441,,,,,0.538781,
2,899775,,,,,0.558664,
3,830673,,,,,0.571029,
4,771443,,,,,0.585819,
5,720110,,,,,0.596171,
6,675193,,,,,0.610796,
7,635561,,,,,0.62423,
8,600333,,,,,0.63298,
9,568813,,,,,0.644195,
0,735404,,,,,,0.0
