,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.978084,,,,
1,75034,0.751939,,,,
2,137534,0.7339,,,,
3,200034,0.713355,,,,
4,262534,0.683877,,,,
5,325034,0.650992,,,,
6,387534,0.624384,,,,
7,450034,0.602297,,,,
0,554769,,0.0,,,
1,538187,,0.398967,,,
2,510659,,0.401174,,,
3,488503,,0.405694,,,
4,468783,,0.416899,,,
5,456689,,0.428467,,,
6,453313,,0.433952,,,
7,452638,,0.43558,,,
8,452593,,0.435666,,,
9,452457,,0.435666,,,
10,452457,,0.435666,,,
0,452478,,,0.435944,,
0,1051021,,,,0.314988,
1,787343,,,,0.353678,
2,655102,,,,0.38772,
3,575538,,,,0.414628,
4,522329,,,,0.444085,
5,484108,,,,0.462552,
6,455288,,,,0.487017,
0,554797,,,,,0.000385621
