,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.998912,,,,
2,137534,0.994404,,,,
3,200034,0.985011,,,,
4,262534,0.971465,,,,
5,325034,0.953806,,,,
6,387534,0.936424,,,,
7,450034,0.920801,,,,
0,870078,,0.0,,,
1,743300,,0.973027,,,
2,530729,,0.975716,,,
3,390129,,0.97718,,,
4,279996,,0.978564,,,
5,230158,,0.978999,,,
6,220076,,0.979039,,,
7,218418,,0.979039,,,
8,217928,,0.979039,,,
9,217656,,0.979039,,,
10,217656,,0.979039,,,
0,220815,,,0.975182,,
0,1602864,,,,0.404734,
1,1201050,,,,0.446993,
2,999698,,,,0.482924,
3,878595,,,,0.515573,
4,797683,,,,0.547747,
5,739603,,,,0.57466,
6,695840,,,,0.602484,
0,871254,,,,,0.00885918
