,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.999849,,,,,
1,75034,0.996382,,,,,
2,137534,0.983547,,,,,
3,200034,0.96326,,,,,
4,262534,0.93899,,,,,
5,325034,0.916765,,,,,
6,387534,0.899451,,,,,
7,450034,0.88892,,,,,
0,554769,,0.0,,,,
1,538187,,0.0368041,,,,
2,510659,,0.0669753,,,,
3,488503,,0.0868095,,,,
4,468783,,0.1021,,,,
5,456689,,0.109702,,,,
6,453313,,0.111209,,,,
7,452638,,0.111661,,,,
8,452593,,0.111705,,,,
9,452457,,0.111705,,,,
10,452457,,0.111705,,,,
0,452478,,,0.111834,,,
0,575538,,,,0.517002,,
1,546477,,,,0.531388,,
2,522329,,,,0.544482,,
3,501634,,,,0.558501,,
4,484108,,,,0.569872,,
5,468776,,,,0.587768,,
6,455288,,,,0.59733,,
7,443272,,,,0.607925,,
8,432736,,,,0.623861,,
9,423132,,,,0.632023,,
0,841916,,,,,0.521675,
1,765387,,,,,0.534166,
2,701614,,,,,0.548013,
3,647652,,,,,0.564402,
4,601398,,,,,0.576354,
5,561312,,,,,0.591515,
6,526237,,,,,0.603037,
7,495288,,,,,0.612275,
8,467778,,,,,0.62427,
9,443163,,,,,0.639582,
0,554797,,,,,,0.000150748
