,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,1.0,,,,,
1,75034,0.997704,,,,,
2,137534,0.98986,,,,,
3,200034,0.974507,,,,,
4,262534,0.955579,,,,,
5,325034,0.937296,,,,,
6,387534,0.923067,,,,,
7,450034,0.912676,,,,,
0,554769,,0.0,,,,
1,538187,,0.133228,,,,
2,510659,,0.133503,,,,
3,488503,,0.133527,,,,
4,468783,,0.133611,,,,
5,456689,,0.133635,,,,
6,453313,,0.133635,,,,
7,452638,,0.133635,,,,
8,452593,,0.133635,,,,
9,452457,,0.133635,,,,
10,452457,,0.133635,,,,
0,452478,,,0.134077,,,
0,575538,,,,0.532362,,
1,546477,,,,0.549174,,
2,522329,,,,0.563356,,
3,501634,,,,0.576832,,
4,484108,,,,0.588992,,
5,468776,,,,0.604525,,
6,455288,,,,0.620607,,
7,443272,,,,0.626837,,
8,432736,,,,0.639966,,
9,423132,,,,0.653801,,
0,841916,,,,,0.539345,
1,765387,,,,,0.549641,
2,701614,,,,,0.567254,
3,647652,,,,,0.585477,
4,601398,,,,,0.595891,
5,561312,,,,,0.611173,
6,526237,,,,,0.62026,
7,495288,,,,,0.634717,
8,467778,,,,,0.649843,
9,443163,,,,,0.659444,
0,554797,,,,,,0.000490249
