,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.902141,,,,,
1,75034,0.0522999,,,,,
2,137534,0.00830158,,,,,
3,200034,0.0042108,,,,,
4,262534,0.0021004,,,,,
5,325034,0.00138026,,,,,
6,387534,0.0010702,,,,,
7,450034,0.000710135,,,,,
0,554769,,0.0,,,,
1,538187,,0.0,,,,
2,510659,,0.0,,,,
3,488503,,0.0,,,,
4,468783,,0.0,,,,
5,456689,,0.0,,,,
6,453313,,8.00152e-05,,,,
7,452638,,0.00021004,,,,
8,452593,,0.000680129,,,,
9,452457,,0.00352067,,,,
10,452457,,0.00352067,,,,
0,452478,,,0.00352067,,,
0,575538,,,,0.00111021,,
1,546477,,,,0.0010502,,
2,522329,,,,0.00114022,,
3,501634,,,,0.00111021,,
4,484108,,,,0.00115022,,
5,468776,,,,0.00124024,,
6,455288,,,,0.00121023,,
7,443272,,,,0.00112021,,
8,432736,,,,0.00131025,,
9,423132,,,,0.00135026,,
0,841916,,,,,0.00111021,
1,765387,,,,,0.00111021,
2,701614,,,,,0.0010402,
3,647652,,,,,0.0010502,
4,601398,,,,,0.00121023,
5,561312,,,,,0.00122023,
6,526237,,,,,0.00120023,
7,495288,,,,,0.00130025,
8,467778,,,,,0.00121023,
9,443163,,,,,0.00129025,
0,554797,,,,,,0.0
