,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,1.0,,,,,
1,75034,0.998912,,,,,
2,137534,0.994404,,,,,
3,200034,0.985011,,,,,
4,262534,0.971465,,,,,
5,325034,0.953806,,,,,
6,387534,0.936424,,,,,
7,450034,0.920801,,,,,
0,870078,,0.0,,,,
1,743300,,0.973027,,,,
2,530729,,0.975716,,,,
3,390129,,0.97718,,,,
4,279996,,0.978564,,,,
5,230158,,0.978999,,,,
6,220076,,0.979039,,,,
7,218418,,0.979039,,,,
8,217928,,0.979039,,,,
9,217656,,0.979039,,,,
10,217656,,0.979039,,,,
0,220815,,,0.975182,,,
0,878595,,,,0.515573,,
1,834632,,,,0.531591,,
2,797683,,,,0.547747,,
3,766408,,,,0.558999,,
4,739603,,,,0.57466,,
5,716390,,,,0.586288,,
6,695840,,,,0.602484,,
7,677828,,,,0.612292,,
8,661795,,,,0.627044,,
9,647146,,,,0.635132,,
0,1283583,,,,,0.518796,
1,1166903,,,,,0.53424,
2,1069670,,,,,0.550851,
3,987396,,,,,0.565406,
4,916875,,,,,0.577666,
5,855757,,,,,0.591133,
6,802279,,,,,0.604343,
7,755092,,,,,0.617018,
8,713149,,,,,0.625047,
9,675620,,,,,0.640392,
0,871254,,,,,,0.00885918
