,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.993795,,,,,
1,75034,0.29245,,,,,
2,137534,0.158517,,,,,
3,200034,0.114585,,,,,
4,262534,0.09663,,,,,
5,325034,0.0836414,,,,,
6,387534,0.0757532,,,,,
7,450034,0.0670597,,,,,
0,870078,,0.00843538,,,,
1,743300,,0.0283623,,,,
2,530729,,0.0757738,,,,
3,390129,,0.17039,,,,
4,279996,,0.329888,,,,
5,230158,,0.45167,,,,
6,220076,,0.488312,,,,
7,218418,,0.495664,,,,
8,217928,,0.496613,,,,
9,217656,,0.496644,,,,
10,217656,,0.496644,,,,
0,220815,,,0.498606,,,
0,878595,,,,0.0471431,,
1,834632,,,,0.0481859,,
2,797683,,,,0.0486918,,
3,766408,,,,0.0504574,,
4,739603,,,,0.0518203,,
5,716390,,,,0.0520268,,
6,695840,,,,0.0535755,,
7,677828,,,,0.0538749,,
8,661795,,,,0.0548558,,
9,647146,,,,0.055785,,
0,1283583,,,,,0.0472464,
1,1166903,,,,,0.048093,
2,1069670,,,,,0.0491048,
3,987396,,,,,0.0503954,
4,916875,,,,,0.0517996,
5,855757,,,,,0.0527805,
6,802279,,,,,0.0538646,
7,755092,,,,,0.0545047,
8,713149,,,,,0.0547835,
9,675620,,,,,0.0567555,
0,871254,,,,,,0.0177793
