,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.99965,,,,,
1,75034,0.227672,,,,,
2,137534,0.0332576,,,,,
3,200034,0.0095822,,,,,
4,262534,0.00472109,,,,,
5,325034,0.00269062,,,,,
6,387534,0.0017404,,,,,
7,450034,0.00125029,,,,,
0,1414425,,1.00023e-05,,,,
1,1284048,,1.00023e-05,,,,
2,1083183,,5.00115e-05,,,,
3,905516,,0.000180041,,,,
4,701540,,0.000990228,,,,
5,492842,,0.00691159,,,,
6,328389,,0.0336177,,,,
7,182512,,0.155626,,,,
8,164100,,0.195845,,,,
9,164095,,0.195895,,,,
10,164095,,0.195895,,,,
0,164053,,,0.195895,,,
0,1446609,,,,0.000470108,,
1,1373887,,,,0.000510117,,
2,1313155,,,,0.000490113,,
3,1261925,,,,0.000460106,,
4,1217680,,,,0.00052012,,
5,1179203,,,,0.000500115,,
6,1145847,,,,0.000540124,,
7,1115949,,,,0.000540124,,
8,1089366,,,,0.000580133,,
9,1065676,,,,0.000540124,,
0,2113235,,,,,0.000500115,
1,1921133,,,,,0.000490113,
2,1761049,,,,,0.00052012,
3,1625593,,,,,0.000500115,
4,1509488,,,,,0.000500115,
5,1408864,,,,,0.00052012,
6,1320817,,,,,0.000500115,
7,1243129,,,,,0.000560129,
8,1174074,,,,,0.000570131,
9,1112287,,,,,0.000590136,
0,1414394,,,,,,1.00023e-05
