,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,75034,0.999942,,,,,,
2,137534,0.998778,,,,,,
3,200034,0.995518,,,,,,
4,262534,0.992374,,,,,,
5,325034,0.985564,,,,,,
6,387534,0.978831,,,,,,
7,450034,0.968081,,,,,,
0,1414425,,0.0,,,,,
1,1284048,,0.985389,,,,,
2,1083183,,0.999942,,,,,
3,905516,,0.999942,,,,,
4,701540,,0.999942,,,,,
5,492842,,0.999942,,,,,
6,328386,,0.999942,,,,,
7,182500,,0.999942,,,,,
8,164081,,0.999942,,,,,
9,164080,,0.999942,,,,,
10,164080,,0.999942,,,,,
0,164080,,,0.999942,,,,
1,164080,,,0.999942,,,,
2,164158,,,0.999398,,,,
3,164600,,,0.997807,,,,
4,166502,,,0.993054,,,,
5,173270,,,0.980092,,,,
6,190553,,,0.954072,,,,
7,258098,,,0.899412,,,,
8,344069,,,0.806489,,,,
9,492807,,,0.66527,,,,
10,707962,,,0.482838,,,,
11,954353,,,0.297786,,,,
12,1173307,,,0.14673,,,,
13,1321358,,,0.0537478,,,,
14,1390044,,,0.0133108,,,,
0,1446609,,,,0.51755,,,
1,1373887,,,,0.5374,,,
2,1313155,,,,0.550731,,,
3,1261925,,,,0.562955,,,
4,1217680,,,,0.575761,,,
5,1179203,,,,0.594738,,,
6,1145847,,,,0.602441,,,
7,1115949,,,,0.617595,,,
8,1089366,,,,0.629878,,,
9,1065676,,,,0.639541,,,
0,164053,,,,,0.999942,,
1,176557,,,,,0.999942,,
2,189053,,,,,0.999942,,
3,201557,,,,,0.999942,,
4,214053,,,,,0.999748,,
5,250543,,,,,0.999496,,
6,263047,,,,,0.999457,,
7,275551,,,,,0.999379,,
8,288047,,,,,0.99936,,
0,164053,,,,,,0.999942,
0,1414394,,,,,,,1.94035e-05
