,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.993795,,,,,,,
1,75034,0.29245,,,,,,,
2,137534,0.158517,,,,,,,
3,200034,0.114585,,,,,,,
4,262534,0.09663,,,,,,,
5,325034,0.0836414,,,,,,,
6,387534,0.0757532,,,,,,,
7,450034,0.0670597,,,,,,,
0,870078,,0.00843538,,,,,,
1,743300,,0.0283623,,,,,,
2,530729,,0.0757738,,,,,,
3,390129,,0.17039,,,,,,
4,279996,,0.329888,,,,,,
5,230158,,0.45167,,,,,,
6,220076,,0.488312,,,,,,
7,218418,,0.495664,,,,,,
8,217928,,0.496613,,,,,,
9,217656,,0.496644,,,,,,
10,217656,,0.496644,,,,,,
0,220815,,,0.498606,,,,,
0,1283583,,,,0.0472464,,,,
1,1166903,,,,0.048093,,,,
2,1069670,,,,0.0491048,,,,
3,987396,,,,0.0503954,,,,
4,916875,,,,0.0517996,,,,
5,855757,,,,0.0527805,,,,
6,802279,,,,0.0538646,,,,
7,755092,,,,0.0545047,,,,
8,713149,,,,0.0547835,,,,
9,675620,,,,0.0567555,,,,
0,962650,,,,,0.124115,,,
1,875140,,,,,0.128203,,,
2,802215,,,,,0.134439,,,
3,740509,,,,,0.138745,,,
4,687619,,,,,0.144011,,,
5,641780,,,,,0.15003,,,
6,601672,,,,,0.154098,,,
7,566281,,,,,0.160489,,,
8,534824,,,,,0.166064,,,
9,506677,,,,,0.172641,,,
0,1123084,,,,,,0.0874099,,
1,1020989,,,,,,0.0900737,,
2,935910,,,,,,0.0938113,,
3,863920,,,,,,0.0952671,,
4,802215,,,,,,0.0985917,,
5,748736,,,,,,0.101286,,
6,701943,,,,,,0.103641,,
7,660654,,,,,,0.106666,,
8,623954,,,,,,0.1084,,
9,591116,,,,,,0.112685,,
0,1283519,,,,,,,0.0669977,
1,1166839,,,,,,,0.0688252,
2,1069606,,,,,,,0.0710761,
3,987332,,,,,,,0.071995,
4,916811,,,,,,,0.0741735,
5,855693,,,,,,,0.0758461,
6,802215,,,,,,,0.0777872,
7,755028,,,,,,,0.0787164,
8,713085,,,,,,,0.0796766,
9,675556,,,,,,,0.082485,
0,871254,,,,,,,,0.0177793
