,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.999949,,,,,,,
1,75034,0.680935,,,,,,,
2,137534,0.402227,,,,,,,
3,200034,0.278293,,,,,,,
4,262534,0.214173,,,,,,,
5,325034,0.164735,,,,,,,
6,387534,0.132154,,,,,,,
7,450034,0.112547,,,,,,,
0,1414425,,1.0112e-05,,,,,,
1,1284048,,1.0112e-05,,,,,,
2,1083183,,7.07843e-05,,,,,,
3,905516,,0.000303361,,,,,,
4,701540,,0.00119322,,,,,,
5,492842,,0.00730089,,,,,,
6,328389,,0.0334203,,,,,,
7,182512,,0.153834,,,,,,
8,164100,,0.193433,,,,,,
9,164095,,0.193494,,,,,,
10,164095,,0.193494,,,,,,
0,164053,,,0.193504,,,,,
0,2113235,,,,0.0461311,,,,
1,1921133,,,,0.0469805,,,,
2,1761049,,,,0.0472435,,,,
3,1625593,,,,0.0483254,,,,
4,1509488,,,,0.0494277,,,,
5,1408864,,,,0.0506613,,,,
6,1320817,,,,0.0515815,,,,
7,1243129,,,,0.0525422,,,,
8,1174074,,,,0.0541702,,,,
9,1112287,,,,0.0535534,,,,
0,1584893,,,,,0.240252,,,
1,1440816,,,,,0.253094,,,
2,1320753,,,,,0.265633,,,
3,1219161,,,,,0.275765,,,
4,1132082,,,,,0.28885,,,
5,1056614,,,,,0.303523,,,
6,990579,,,,,0.313847,,,
7,932313,,,,,0.32491,,,
8,880522,,,,,0.336114,,,
9,834182,,,,,0.348542,,,
0,1849032,,,,,,0.160781,,
1,1680942,,,,,,0.168335,,
2,1540869,,,,,,0.174028,,
3,1422345,,,,,,0.181086,,
4,1320753,,,,,,0.187902,,
5,1232707,,,,,,0.195112,,
6,1155666,,,,,,0.199693,,
7,1087689,,,,,,0.207813,,
8,1027266,,,,,,0.214264,,
9,973202,,,,,,0.218905,,
0,2113171,,,,,,,0.105873,
1,1921069,,,,,,,0.110616,
2,1760985,,,,,,,0.113528,
3,1625529,,,,,,,0.116683,
4,1509424,,,,,,,0.12092,
5,1408800,,,,,,,0.124277,
6,1320753,,,,,,,0.126299,
7,1243065,,,,,,,0.131659,
8,1174010,,,,,,,0.135845,
9,1112223,,,,,,,0.136654,
0,1414394,,,,,,,,2.02241e-05
