,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.99965,,,,,,,
1,137534,0.0332576,,,,,,,
2,262534,0.00472109,,,,,,,
3,387534,0.0017404,,,,,,,
4,512534,0.00105024,,,,,,,
5,637534,0.000770177,,,,,,,
6,762534,0.000670154,,,,,,,
7,887534,0.000530122,,,,,,,
0,3750275,,0.91432,,,,,,
1,5000311,,0.667724,,,,,,
2,6250216,,0.526451,,,,,,
3,7500243,,0.34648,,,,,,
4,8750282,,0.26076,,,,,,
5,10000306,,0.168519,,,,,,
6,11250214,,0.120098,,,,,,
7,12500243,,0.0786381,,,,,,
0,625214,,,0.99954,,,,,
1,1875197,,,0.934475,,,,,
2,3125175,,,0.629325,,,,,
3,4375154,,,0.358292,,,,,
4,5625207,,,0.197115,,,,,
0,1414425,,,,1.00023e-05,,,,
1,1284048,,,,1.00023e-05,,,,
2,1083183,,,,5.00115e-05,,,,
3,905516,,,,0.000180041,,,,
4,701540,,,,0.000990228,,,,
5,492842,,,,0.00691159,,,,
6,328386,,,,0.0336277,,,,
7,182500,,,,0.155636,,,,
8,164081,,,,0.195855,,,,
9,164080,,,,0.195905,,,,
10,164080,,,,0.195905,,,,
0,164080,,,,,0.195905,,,
1,164080,,,,,0.195905,,,
2,164158,,,,,0.195865,,,
3,164600,,,,,0.195755,,,
4,166502,,,,,0.195195,,,
5,173270,,,,,0.193464,,,
6,190553,,,,,0.189994,,,
7,258098,,,,,0.181402,,,
8,344069,,,,,0.165268,,,
9,492807,,,,,0.139502,,,
10,707962,,,,,0.104584,,,
11,954353,,,,,0.0677356,,,
12,1173307,,,,,0.0358382,,,
13,1321358,,,,,0.0142533,,,
14,1390044,,,,,0.00459106,,,
0,164053,,,,,,0.195895,,
1,176557,,,,,,0.195895,,
2,189053,,,,,,0.195885,,
3,201557,,,,,,0.195885,,
4,214053,,,,,,0.100393,,
5,250543,,,,,,0.0528922,,
6,263047,,,,,,0.0278764,,
7,275551,,,,,,0.0137332,,
8,288047,,,,,,0.00707163,,
0,164053,,,,,,,0.195895,
0,1414394,,,,,,,,1.00023e-05
