,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.999947,,,,,,,
1,137534,0.999308,,,,,,,
2,262534,0.995343,,,,,,,
3,387534,0.98861,,,,,,,
4,512534,0.976076,,,,,,,
5,637534,0.961307,,,,,,,
6,762534,0.944329,,,,,,,
7,887534,0.928283,,,,,,,
0,3750248,,0.255282,,,,,,
1,5000261,,0.16648,,,,,,
2,6250253,,0.102294,,,,,,
3,7500249,,0.0649582,,,,,,
4,8750265,,0.0439087,,,,,,
5,10000258,,0.0270105,,,,,,
6,11250249,,0.0172441,,,,,,
7,12500267,,0.0104582,,,,,,
0,625191,,,0.994332,,,,,
1,1875189,,,0.365267,,,,,
2,3125189,,,0.16986,,,,,
3,4375189,,,0.0867529,,,,,
4,5625187,,,0.0409548,,,,,
0,1843590,,,,0.0,,,,
1,1579536,,,,2.66113e-05,,,,
2,1315488,,,,0.00263452,,,,
3,1051474,,,,0.0446804,,,,
4,787948,,,,0.206823,,,,
5,396545,,,,0.623477,,,,
6,257656,,,,0.781149,,,,
7,224425,,,,0.813827,,,,
8,221575,,,,0.816196,,,,
9,220886,,,,0.816275,,,,
10,220886,,,,0.816275,,,,
0,220886,,,,,0.816275,,,
1,220886,,,,,0.816275,,,
2,220886,,,,,0.816275,,,
3,220886,,,,,0.816275,,,
4,220892,,,,,0.816275,,,
5,220916,,,,,0.816275,,,
6,221016,,,,,0.816275,,,
7,221340,,,,,0.816196,,,
8,223920,,,,,0.81585,,,
9,234152,,,,,0.813242,,,
10,277491,,,,,0.799058,,,
11,408887,,,,,0.747219,,,
12,714326,,,,,0.61717,,,
13,1119338,,,,,0.408085,,,
14,1484067,,,,,0.205439,,,
0,220838,,,,,,0.816275,,
1,233342,,,,,,0.816275,,
2,245838,,,,,,0.813614,,
3,258342,,,,,,0.813614,,
4,270838,,,,,,0.74219,,
5,283342,,,,,,0.707409,,
6,295838,,,,,,0.68745,,
7,308342,,,,,,0.677231,,
8,320838,,,,,,0.672282,,
0,220838,,,,,,,0.816275,
0,1843558,,,,,,,,0.0
