,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.196737,,,,,,,
2,262534,0.0400956,,,,,,,
3,387534,0.0163964,,,,,,,
4,512534,0.00870339,,,,,,,
5,637534,0.00418163,,,,,,,
6,762534,0.0030712,,,,,,,
7,887534,0.00228089,,,,,,,
0,3750248,,0.259291,,,,,,
1,5000261,,0.167015,,,,,,
2,6250253,,0.103961,,,,,,
3,7500249,,0.0662258,,,,,,
4,8750265,,0.041126,,,,,,
5,10000258,,0.0266504,,,,,,
6,11250249,,0.0173468,,,,,,
7,12500267,,0.0109543,,,,,,
0,625191,,,0.996889,,,,,
1,1875189,,,0.348996,,,,,
2,3125189,,,0.173318,,,,,
3,4375189,,,0.0833925,,,,,
4,5625187,,,0.0412061,,,,,
0,1843590,,,,0.0,,,,
1,1579536,,,,0.0,,,,
2,1315488,,,,0.0,,,,
3,1051474,,,,0.0,,,,
4,787948,,,,0.0,,,,
5,396545,,,,0.0,,,,
6,257656,,,,0.0,,,,
7,224425,,,,4.00156e-05,,,,
8,221575,,,,0.000930363,,,,
9,220886,,,,0.0171767,,,,
10,220886,,,,0.0171767,,,,
0,220886,,,,,0.0171767,,,
1,220886,,,,,0.0171767,,,
2,220886,,,,,0.0171767,,,
3,220886,,,,,0.0171767,,,
4,220892,,,,,0.0171767,,,
5,220916,,,,,0.0171767,,,
6,221016,,,,,0.0171767,,,
7,221340,,,,,0.0171767,,,
8,223920,,,,,0.0171767,,,
9,234152,,,,,0.0171767,,,
10,277491,,,,,0.0171767,,,
11,408887,,,,,0.0171767,,,
12,714326,,,,,0.0171767,,,
13,1119338,,,,,0.0171767,,,
14,1484067,,,,,0.0171767,,,
0,220838,,,,,,0.0171767,,
1,233342,,,,,,0.0171767,,
2,245838,,,,,,0.0171767,,
3,258342,,,,,,0.0171767,,
4,270838,,,,,,0.00925361,,
5,283342,,,,,,0.00516201,,
6,295838,,,,,,0.00272106,,
7,308342,,,,,,0.00152059,,
8,320838,,,,,,0.000860336,,
0,220838,,,,,,,0.0171767,
0,1843558,,,,,,,,0.0
