,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.889194,,,,,,
1,75034,0.0318316,,,,,,
2,137534,0.00255013,,,,,,
3,200034,0.000640032,,,,,,
4,262534,0.000280014,,,,,,
5,325034,0.000120006,,,,,,
6,387534,9.00045e-05,,,,,,
7,450034,8.0004e-05,,,,,,
0,70955,,0.000210011,,,,,
1,83455,,0.000250013,,,,,
2,95955,,0.000210011,,,,,
3,108455,,0.000180009,,,,,
4,120955,,0.000170009,,,,,
5,133455,,0.000150008,,,,,
0,85320,,,3.00015e-05,,,,
1,97820,,,3.00015e-05,,,,
2,110320,,,3.00015e-05,,,,
3,122820,,,3.00015e-05,,,,
4,135320,,,3.00015e-05,,,,
5,147820,,,3.00015e-05,,,,
0,112380,,,,1.00005e-05,,,
1,124880,,,,1.00005e-05,,,
2,137380,,,,1.00005e-05,,,
3,149880,,,,1.00005e-05,,,
4,162380,,,,1.00005e-05,,,
5,174880,,,,1.00005e-05,,,
0,154438,,,,,0.0,,
1,166938,,,,,0.0,,
2,179438,,,,,0.0,,
3,191938,,,,,0.0,,
4,204438,,,,,0.0,,
5,216938,,,,,0.0,,
0,453038,,,,,,0.0020601,
0,555088,,,,,,,0.0
