,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.974229,,,,,,
1,75034,0.69886,,,,,,
2,137534,0.538165,,,,,,
3,200034,0.369543,,,,,,
4,262534,0.234641,,,,,,
5,325034,0.138145,,,,,,
6,387534,0.0804518,,,,,,
7,450034,0.0463968,,,,,,
0,70955,,0.753352,,,,,
1,83455,,0.741199,,,,,
2,95955,,0.732141,,,,,
3,108455,,0.726911,,,,,
4,120955,,0.720071,,,,,
5,133455,,0.70957,,,,,
0,85320,,,0.751177,,,,
1,97820,,,0.739023,,,,
2,110320,,,0.730656,,,,
3,122820,,,0.724966,,,,
4,135320,,,0.718377,,,,
5,147820,,,0.707729,,,,
0,112380,,,,0.74624,,,
1,124880,,,,0.735111,,,
2,137380,,,,0.726932,,,
3,149880,,,,0.721075,,,
4,162380,,,,0.714172,,,
5,174880,,,,0.70296,,,
0,154438,,,,,0.73714,,
1,166938,,,,,0.728982,,
2,179438,,,,,0.720029,,
3,191938,,,,,0.713942,,
4,204438,,,,,0.70593,,
5,216938,,,,,0.695785,,
0,453038,,,,,,0.441481,
0,555088,,,,,,,0.000481121
