,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,1.0,,,,,,
1,75034,0.982962,,,,,,
2,137534,0.908346,,,,,,
3,200034,0.79394,,,,,,
4,262534,0.665901,,,,,,
5,325034,0.548671,,,,,,
6,387534,0.451527,,,,,,
7,450034,0.377544,,,,,,
0,73594,,0.97515,,,,,
1,86094,,0.97416,,,,,
2,98594,,0.972919,,,,,
3,111094,,0.971283,,,,,
4,123594,,0.968749,,,,,
5,136094,,0.966189,,,,,
0,92990,,,0.94316,,,,
1,105490,,,0.941999,,,,
2,117990,,,0.94056,,,,
3,130490,,,0.939016,,,,
4,142990,,,0.936522,,,,
5,155490,,,0.934093,,,,
0,135207,,,,0.885027,,,
1,147707,,,,0.883931,,,
2,160207,,,,0.88215,,,
3,172707,,,,0.880671,,,
4,185207,,,,0.878124,,,
5,197707,,,,0.875023,,,
0,212624,,,,,0.801066,,
1,225124,,,,,0.79976,,
2,237624,,,,,0.797873,,
3,250124,,,,,0.795827,,
4,262624,,,,,0.793161,,
5,275124,,,,,0.789413,,
0,221094,,,,,,0.707749,
0,870974,,,,,,,0.00385356
