,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.992766,,,,,,
1,75034,0.217018,,,,,,
2,137534,0.094898,,,,,,
3,200034,0.0545965,,,,,,
4,262534,0.0360566,,,,,,
5,325034,0.0253885,,,,,,
6,387534,0.0192896,,,,,,
7,450034,0.0148218,,,,,,
0,73594,,0.283671,,,,,
1,86094,,0.21563,,,,,
2,98594,,0.17389,,,,,
3,111094,,0.145807,,,,,
4,123594,,0.124947,,,,,
5,136094,,0.111665,,,,,
0,92990,,,0.268869,,,,
1,105490,,,0.205053,,,,
2,117990,,,0.166393,,,,
3,130490,,,0.140083,,,,
4,142990,,,0.120469,,,,
5,155490,,,0.108281,,,,
0,135207,,,,0.233309,,,
1,147707,,,,0.180161,,,
2,160207,,,,0.147894,,,
3,172707,,,,0.125545,,,
4,185207,,,,0.109244,,,
5,197707,,,,0.098606,,,
0,212624,,,,,0.172077,,
1,225124,,,,,0.137216,,
2,237624,,,,,0.115819,,
3,250124,,,,,0.100115,,
4,262624,,,,,0.0890422,,
5,275124,,,,,0.0807246,,
0,221094,,,,,,0.502958,
0,870974,,,,,,,0.0180131
