,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.99391,,,,,,
1,75034,0.244125,,,,,,
2,137534,0.131076,,,,,,
3,200034,0.090215,,,,,,
4,262534,0.065157,,,,,,
5,325034,0.0488207,,,,,,
6,387534,0.0371953,,,,,,
7,450034,0.0297583,,,,,,
0,110130,,0.281257,,,,,
1,122630,,0.228039,,,,,
2,135130,,0.194228,,,,,
3,147630,,0.173108,,,,,
4,160130,,0.158506,,,,,
5,172630,,0.14476,,,,,
0,151899,,,0.255928,,,,
1,164399,,,0.21071,,,,
2,176899,,,0.181255,,,,
3,189399,,,0.16307,,,,
4,201899,,,0.150379,,,,
5,214399,,,0.138242,,,,
0,210009,,,,0.222179,,,
1,222509,,,,0.187888,,,
2,235009,,,,0.163707,,,
3,247509,,,,0.149544,,,
4,260009,,,,0.139213,,,
5,272509,,,,0.128591,,,
0,283710,,,,,0.185694,,
1,296210,,,,,0.161524,,
2,308710,,,,,0.143381,,
3,321210,,,,,0.132278,,
4,333710,,,,,0.124903,,
5,346210,,,,,0.116088,,
0,210768,,,,,,0.361225,
0,903506,,,,,,,0.03848
