,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.999976,,,,,,
1,75034,0.998272,,,,,,
2,137534,0.975046,,,,,,
3,200034,0.928202,,,,,,
4,262534,0.873206,,,,,,
5,325034,0.793007,,,,,,
6,387534,0.712158,,,,,,
7,450034,0.637662,,,,,,
0,356201,,0.931302,,,,,
1,368701,,0.931255,,,,,
2,381201,,0.930474,,,,,
3,393701,,0.929776,,,,,
4,406201,,0.928936,,,,,
5,418701,,0.927457,,,,,
0,488104,,,0.864923,,,,
1,500604,,,0.864616,,,,
2,513104,,,0.863657,,,,
3,525604,,,0.862498,,,,
4,538104,,,0.861338,,,,
5,550604,,,0.859741,,,,
0,619882,,,,0.782784,,,
1,632382,,,,0.782382,,,
2,644882,,,,0.781281,,,
3,657382,,,,0.779436,,,
4,669882,,,,0.778004,,,
5,682382,,,,0.776194,,,
0,751116,,,,,0.689073,,
1,763616,,,,,0.688067,,
2,776116,,,,,0.686742,,
3,788616,,,,,0.684778,,
4,801116,,,,,0.682565,,
5,813616,,,,,0.680447,,
0,164031,,,,,,0.976111,
0,1415776,,,,,,,1.18322e-05
