,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,869736,0.0,,,,,,
1,719123,0.0,,,,,,
2,530212,0.0,,,,,,
3,388443,2.00016e-05,,,,,,
4,276765,8.00064e-05,,,,,,
5,225764,0.000150012,,,,,,
6,215448,0.000350028,,,,,,
7,213760,0.00191015,,,,,,
8,213195,0.012591,,,,,,
9,212923,0.0181815,,,,,,
10,212923,0.0181815,,,,,,
0,212923,,0.0181815,,,,,
1,212923,,0.0181815,,,,,
2,220114,,0.0181815,,,,,
3,243248,,0.0181014,,,,,
4,291849,,0.0181014,,,,,
5,370422,,0.0181014,,,,,
6,476163,,0.0180414,,,,,
7,588576,,0.0179914,,,,,
8,708005,,0.0162013,,,,,
9,783064,,0.0159113,,,,,
10,829262,,0.0138511,,,,,
11,852949,,0.0107209,,,,,
12,863279,,0.00713057,,,,,
13,867443,,0.00390031,,,,,
14,868939,,0.00332027,,,,,
0,135207,,,1.00008e-05,,,,
1,147707,,,1.00008e-05,,,,
2,160207,,,1.00008e-05,,,,
3,172707,,,1.00008e-05,,,,
4,185207,,,1.00008e-05,,,,
5,197707,,,1.00008e-05,,,,
0,12534,,,,0.990309,,,
1,75034,,,,0.111149,,,
2,137534,,,,0.0183415,,,
3,200034,,,,0.0037903,,,
4,262534,,,,0.00136011,,,
5,325034,,,,0.000450036,,,
6,387534,,,,0.000340027,,,
7,450034,,,,0.000230018,,,
0,221094,,,,,0.0181915,,
1,233606,,,,,0.0181915,,
2,246102,,,,,0.0181915,,
3,258606,,,,,0.0181915,,
4,271102,,,,,0.0100208,,
5,283606,,,,,0.00538043,,
6,296102,,,,,0.00258021,,
7,308606,,,,,0.00151012,,
8,321102,,,,,0.000830066,,
0,221094,,,,,,0.0181915,
0,870974,,,,,,,0.0
