,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,899719,0.0,,,,,,
1,780271,0.921815,,,,,,
2,608659,0.935196,,,,,,
3,480106,0.945401,,,,,,
4,365822,0.94933,,,,,,
5,287503,0.95066,,,,,,
6,211749,0.950912,,,,,,
7,196987,0.950948,,,,,,
8,193882,0.950948,,,,,,
9,193845,0.950948,,,,,,
10,193845,0.950948,,,,,,
0,193845,,0.950948,,,,,
1,193845,,0.950948,,,,,
2,203285,,0.877554,,,,,
3,225101,,0.79047,,,,,
4,299269,,0.693311,,,,,
5,355006,,0.579862,,,,,
6,427798,,0.46325,,,,,
7,512489,,0.350075,,,,,
8,602109,,0.249132,,,,,
9,690491,,0.161412,,,,,
10,766524,,0.0950025,,,,,
11,826146,,0.0489087,,,,,
12,864797,,0.0213339,,,,,
13,886109,,0.00771424,,,,,
14,895422,,0.00232385,,,,,
0,210009,,,0.996766,,,,
1,222509,,,0.994777,,,,
2,235009,,,0.992693,,,,
3,247509,,,0.990154,,,,
4,260009,,,0.986213,,,,
5,272509,,,0.984056,,,,
0,12534,,,,1.0,,,
1,75034,,,,0.981936,,,
2,137534,,,,0.904902,,,
3,200034,,,,0.792159,,,
4,262534,,,,0.656034,,,
5,325034,,,,0.533756,,,
6,387534,,,,0.430308,,,
7,450034,,,,0.345572,,,
0,210768,,,,,0.926547,,
1,223272,,,,,0.926547,,
2,273326,,,,,0.924139,,
3,285822,,,,,0.924139,,
4,298326,,,,,0.884442,,
5,310830,,,,,0.865779,,
6,323326,,,,,0.855106,,
7,335822,,,,,0.84877,,
8,348326,,,,,0.845871,,
0,210768,,,,,,0.926547,
0,903506,,,,,,,0.0123021
