,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.908346,,,,,,,,,,,,
2,262534,0.665901,,,,,,,,,,,,
3,387534,0.451527,,,,,,,,,,,,
4,512534,0.320506,,,,,,,,,,,,
5,637534,0.249004,,,,,,,,,,,,
6,762534,0.213055,,,,,,,,,,,,
7,887534,0.198036,,,,,,,,,,,,
0,869736,,0.0,,,,,,,,,,,
1,719123,,0.183519,,,,,,,,,,,
2,530212,,0.416396,,,,,,,,,,,
3,388443,,0.568783,,,,,,,,,,,
4,276765,,0.671721,,,,,,,,,,,
5,225764,,0.709808,,,,,,,,,,,
6,215448,,0.717528,,,,,,,,,,,
7,213760,,0.718637,,,,,,,,,,,
8,213195,,0.718809,,,,,,,,,,,
9,212923,,0.718809,,,,,,,,,,,
10,212923,,0.718809,,,,,,,,,,,
0,212923,,,0.718809,,,,,,,,,,
1,212923,,,0.718809,,,,,,,,,,
2,220114,,,0.705347,,,,,,,,,,
3,243248,,,0.66639,,,,,,,,,,
4,291849,,,0.593449,,,,,,,,,,
5,370422,,,0.489561,,,,,,,,,,
6,476163,,,0.362433,,,,,,,,,,
7,588576,,,0.239871,,,,,,,,,,
8,708005,,,0.138768,,,,,,,,,,
9,783064,,,0.0687571,,,,,,,,,,
10,829262,,,0.0290997,,,,,,,,,,
11,852949,,,0.0104389,,,,,,,,,,
12,863279,,,0.00314092,,,,,,,,,,
13,867443,,,0.00073904,,,,,,,,,,
14,868939,,,0.000105577,,,,,,,,,,
0,221094,,,,0.707749,,,,,,,,,
0,877239,,,,,0.238551,,,,,,,,
1,833188,,,,,0.245295,,,,,,,,
2,796405,,,,,0.249188,,,,,,,,
3,765266,,,,,0.256038,,,,,,,,
4,738501,,,,,0.260973,,,,,,,,
5,715240,,,,,0.265144,,,,,,,,
6,694832,,,,,0.269512,,,,,,,,
7,676720,,,,,0.276599,,,,,,,,
8,660690,,,,,0.282999,,,,,,,,
9,646155,,,,,0.2842,,,,,,,,
0,883483,,,,,,0.236598,,,,,,,
1,839936,,,,,,0.245031,,,,,,,
2,803647,,,,,,0.2506,,,,,,,
3,772941,,,,,,0.255338,,,,,,,
4,746622,,,,,,0.260089,,,,,,,
5,723812,,,,,,0.268667,,,,,,,
6,703853,,,,,,0.271478,,,,,,,
7,686242,,,,,,0.27524,,,,,,,
8,670588,,,,,,0.282801,,,,,,,
9,656582,,,,,,0.287856,,,,,,,
0,803647,,,,,,,0.298849,,,,,,
1,760100,,,,,,,0.307625,,,,,,
2,723812,,,,,,,0.313868,,,,,,
3,693106,,,,,,,0.31945,,,,,,
4,666787,,,,,,,0.324452,,,,,,
5,643976,,,,,,,0.33402,,,,,,
6,624017,,,,,,,0.337715,,,,,,
7,606407,,,,,,,0.341159,,,,,,
8,590753,,,,,,,0.349513,,,,,,
9,576746,,,,,,,0.355346,,,,,,
0,723812,,,,,,,,0.40217,,,,,
1,680265,,,,,,,,0.410774,,,,,
2,643976,,,,,,,,0.418864,,,,,
3,613271,,,,,,,,0.424156,,,,,
4,586951,,,,,,,,0.430689,,,,,
5,564141,,,,,,,,0.440415,,,,,
6,544182,,,,,,,,0.44539,,,,,
7,526571,,,,,,,,0.450313,,,,,
8,510917,,,,,,,,0.458535,,,,,
9,496911,,,,,,,,0.462705,,,,,
0,906718,,,,,,,,,0.237971,,,,
1,864579,,,,,,,,,0.244292,,,,
2,829464,,,,,,,,,0.248001,,,,
3,799751,,,,,,,,,0.254058,,,,
4,774282,,,,,,,,,0.259324,,,,
5,752210,,,,,,,,,0.264391,,,,
6,732897,,,,,,,,,0.269868,,,,
7,715856,,,,,,,,,0.27326,,,,
8,700707,,,,,,,,,0.279568,,,,
9,687154,,,,,,,,,0.2849,,,,
0,829464,,,,,,,,,,0.292976,,,
1,787325,,,,,,,,,,0.299733,,,
2,752210,,,,,,,,,,0.304009,,,
3,722497,,,,,,,,,,0.311083,,,
4,697029,,,,,,,,,,0.317602,,,
5,674956,,,,,,,,,,0.321746,,,
6,655643,,,,,,,,,,0.32915,,,
7,638602,,,,,,,,,,0.332792,,,
8,623454,,,,,,,,,,0.339087,,,
9,609900,,,,,,,,,,0.343825,,,
0,752210,,,,,,,,,,,0.386953,,
1,710072,,,,,,,,,,,0.393948,,
2,674956,,,,,,,,,,,0.400507,,
3,645243,,,,,,,,,,,0.406577,,
4,619775,,,,,,,,,,,0.414483,,
5,597702,,,,,,,,,,,0.419511,,
6,578389,,,,,,,,,,,0.426795,,
7,561348,,,,,,,,,,,0.431467,,
8,546200,,,,,,,,,,,0.43866,,
9,532647,,,,,,,,,,,0.443873,,
0,221094,,,,0.707749,,,,,,,,,
1,233606,,,,0.707749,,,,,,,,,
2,246102,,,,0.69318,,,,,,,,,
3,258606,,,,0.69318,,,,,,,,,
4,271102,,,,0.627788,,,,,,,,,
5,283606,,,,0.598833,,,,,,,,,
6,296102,,,,0.58169,,,,,,,,,
7,308606,,,,0.571792,,,,,,,,,
8,321102,,,,0.567015,,,,,,,,,
0,221094,,,,,,,,,,,,0.707749,
0,870974,,,,,,,,,,,,,0.00385356
