,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.901013,,,,,,,,,,,,
2,262534,0.644261,,,,,,,,,,,,
3,387534,0.415467,,,,,,,,,,,,
4,512534,0.275624,,,,,,,,,,,,
5,637534,0.199277,,,,,,,,,,,,
6,762534,0.160229,,,,,,,,,,,,
7,887534,0.141826,,,,,,,,,,,,
0,869736,,0.0,,,,,,,,,,,
1,719123,,0.96229,,,,,,,,,,,
2,530212,,0.965952,,,,,,,,,,,
3,388443,,0.970248,,,,,,,,,,,
4,276765,,0.975271,,,,,,,,,,,
5,225764,,0.977184,,,,,,,,,,,
6,215448,,0.977442,,,,,,,,,,,
7,213760,,0.977442,,,,,,,,,,,
8,213195,,0.977442,,,,,,,,,,,
9,212923,,0.977442,,,,,,,,,,,
10,212923,,0.977442,,,,,,,,,,,
0,212923,,,0.977442,,,,,,,,,,
1,212923,,,0.977442,,,,,,,,,,
2,220114,,,0.922374,,,,,,,,,,
3,243248,,,0.833832,,,,,,,,,,
4,291849,,,0.709365,,,,,,,,,,
5,370422,,,0.557645,,,,,,,,,,
6,476163,,,0.394247,,,,,,,,,,
7,588576,,,0.249616,,,,,,,,,,
8,708005,,,0.139326,,,,,,,,,,
9,783064,,,0.0664883,,,,,,,,,,
10,829262,,,0.0274638,,,,,,,,,,
11,852949,,,0.00956539,,,,,,,,,,
12,863279,,,0.00273465,,,,,,,,,,
13,867443,,,0.000657254,,,,,,,,,,
14,868939,,,0.000129103,,,,,,,,,,
0,221094,,,,0.964966,,,,,,,,,
0,877239,,,,,0.185874,,,,,,,,
1,833188,,,,,0.192258,,,,,,,,
2,796405,,,,,0.197904,,,,,,,,
3,765266,,,,,0.203772,,,,,,,,
4,738501,,,,,0.208244,,,,,,,,
5,715240,,,,,0.216765,,,,,,,,
6,694832,,,,,0.220333,,,,,,,,
7,676720,,,,,0.226072,,,,,,,,
8,660690,,,,,0.23086,,,,,,,,
9,646155,,,,,0.238149,,,,,,,,
0,883483,,,,,,0.185662,,,,,,,
1,839936,,,,,,0.192611,,,,,,,
2,803647,,,,,,0.198326,,,,,,,
3,772941,,,,,,0.2043,,,,,,,
4,746622,,,,,,0.208443,,,,,,,
5,723812,,,,,,0.213467,,,,,,,
6,703853,,,,,,0.220919,,,,,,,
7,686242,,,,,,0.225285,,,,,,,
8,670588,,,,,,0.232269,,,,,,,
9,656582,,,,,,0.237914,,,,,,,
0,803647,,,,,,,0.234851,,,,,,
1,760100,,,,,,,0.242597,,,,,,
2,723812,,,,,,,0.248853,,,,,,
3,693106,,,,,,,0.25546,,,,,,
4,666787,,,,,,,0.261153,,,,,,
5,643976,,,,,,,0.266681,,,,,,
6,624017,,,,,,,0.274779,,,,,,
7,606407,,,,,,,0.28073,,,,,,
8,590753,,,,,,,0.287889,,,,,,
9,576746,,,,,,,0.295037,,,,,,
0,723812,,,,,,,,0.325693,,,,,
1,680265,,,,,,,,0.334965,,,,,
2,643976,,,,,,,,0.34142,,,,,
3,613271,,,,,,,,0.349201,,,,,
4,586951,,,,,,,,0.357053,,,,,
5,564141,,,,,,,,0.363379,,,,,
6,544182,,,,,,,,0.371877,,,,,
7,526571,,,,,,,,0.378402,,,,,
8,510917,,,,,,,,0.385385,,,,,
9,496911,,,,,,,,0.394423,,,,,
0,906718,,,,,,,,,0.188045,,,,
1,864579,,,,,,,,,0.191942,,,,
2,829464,,,,,,,,,0.197833,,,,
3,799751,,,,,,,,,0.201988,,,,
4,774282,,,,,,,,,0.210662,,,,
5,752210,,,,,,,,,0.217117,,,,
6,732897,,,,,,,,,0.221553,,,,
7,715856,,,,,,,,,0.227069,,,,
8,700707,,,,,,,,,0.233067,,,,
9,687154,,,,,,,,,0.237175,,,,
0,829464,,,,,,,,,,0.237222,,,
1,787325,,,,,,,,,,0.242128,,,
2,752210,,,,,,,,,,0.248994,,,
3,722497,,,,,,,,,,0.253418,,,
4,697029,,,,,,,,,,0.263383,,,
5,674956,,,,,,,,,,0.27019,,,
6,655643,,,,,,,,,,0.275472,,,
7,638602,,,,,,,,,,0.28276,,,
8,623454,,,,,,,,,,0.289274,,,
9,609900,,,,,,,,,,0.294485,,,
0,752210,,,,,,,,,,,0.327547,,
1,710072,,,,,,,,,,,0.333674,,
2,674956,,,,,,,,,,,0.34169,,
3,645243,,,,,,,,,,,0.348004,,
4,619775,,,,,,,,,,,0.358696,,
5,597702,,,,,,,,,,,0.365891,,
6,578389,,,,,,,,,,,0.372088,,
7,561348,,,,,,,,,,,0.379728,,
8,546200,,,,,,,,,,,0.387944,,
9,532647,,,,,,,,,,,0.394024,,
0,221094,,,,0.964966,,,,,,,,,
1,233606,,,,0.964966,,,,,,,,,
2,246102,,,,0.963828,,,,,,,,,
3,258606,,,,0.963828,,,,,,,,,
4,271102,,,,0.933676,,,,,,,,,
5,283606,,,,0.919745,,,,,,,,,
6,296102,,,,0.911893,,,,,,,,,
7,308606,,,,0.907233,,,,,,,,,
8,321102,,,,0.904863,,,,,,,,,
0,221094,,,,,,,,,,,,0.964966,
0,870974,,,,,,,,,,,,,0.00524629
