,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,75034,0.998615,,,,,,,,
2,137534,0.97887,,,,,,,,
3,200034,0.920585,,,,,,,,
4,262534,0.833546,,,,,,,,
5,325034,0.730294,,,,,,,,
6,387534,0.632348,,,,,,,,
7,450034,0.543644,,,,,,,,
0,77780,,1.0,,,,,,,
1,116579,,1.0,,,,,,,
2,155350,,0.999984,,,,,,,
3,194155,,0.999751,,,,,,,
4,232949,,0.999627,,,,,,,
5,271726,,0.999113,,,,,,,
0,53151,,,1.0,,,,,,
1,79626,,,1.0,,,,,,
2,106094,,,1.0,,,,,,
3,132567,,,1.0,,,,,,
4,159042,,,1.0,,,,,,
5,185513,,,0.999829,,,,,,
0,28525,,,,1.0,,,,,
1,42674,,,,1.0,,,,,
2,56842,,,,1.0,,,,,
3,70986,,,,1.0,,,,,
4,85163,,,,1.0,,,,,
5,99304,,,,1.0,,,,,
0,869524,,,,,0.0,,,,
1,742769,,,,,0.198724,,,,
2,530380,,,,,0.448483,,,,
3,388093,,,,,0.611918,,,,
4,276645,,,,,0.718656,,,,
5,225447,,,,,0.758285,,,,
6,214972,,,,,0.765412,,,,
7,213366,,,,,0.766158,,,,
8,212934,,,,,0.766314,,,,
9,212798,,,,,0.766314,,,,
10,212798,,,,,0.766314,,,,
0,212798,,,,,,0.766314,,,
1,212798,,,,,,0.766314,,,
2,219854,,,,,,0.751984,,,
3,243004,,,,,,0.710363,,,
4,291719,,,,,,0.631617,,,
5,371614,,,,,,0.517722,,,
6,475325,,,,,,0.385032,,,
7,587108,,,,,,0.255251,,,
8,707484,,,,,,0.148732,,,
9,783970,,,,,,0.0719932,,,
10,830869,,,,,,0.0296561,,,
11,854396,,,,,,0.0101603,,,
12,863807,,,,,,0.00326747,,,
13,867333,,,,,,0.00101136,,,
14,869042,,,,,,0.000186712,,,
0,220506,,,,,,,0.756589,,
1,233010,,,,,,,0.756589,,
2,245514,,,,,,,0.745636,,
3,258010,,,,,,,0.745636,,
4,270514,,,,,,,0.676708,,
5,283018,,,,,,,0.646709,,
6,295514,,,,,,,0.626575,,
7,308018,,,,,,,0.615373,,
8,320514,,,,,,,0.610145,,
0,220506,,,,,,,,0.756589,
0,870750,,,,,,,,,0.00421659
