,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.999947,,,,,,,,
1,75034,0.999908,,,,,,,,
2,137534,0.997162,,,,,,,,
3,200034,0.98627,,,,,,,,
4,262534,0.964839,,,,,,,,
5,325034,0.924922,,,,,,,,
6,387534,0.86849,,,,,,,,
7,450034,0.809442,,,,,,,,
0,77165,,0.999947,,,,,,,
1,115671,,0.999947,,,,,,,
2,154176,,0.999947,,,,,,,
3,192606,,0.999934,,,,,,,
4,231113,,0.999816,,,,,,,
5,269618,,0.999658,,,,,,,
0,52486,,,0.999947,,,,,,
1,78577,,,0.999947,,,,,,
2,104743,,,0.999947,,,,,,
3,130835,,,0.999947,,,,,,
4,157001,,,0.999947,,,,,,
5,183095,,,0.999908,,,,,,
0,27735,,,,0.999947,,,,,
1,41484,,,,0.999947,,,,,
2,55311,,,,0.999947,,,,,
3,69063,,,,0.999947,,,,,
4,82815,,,,0.999947,,,,,
5,96567,,,,0.999947,,,,,
0,1413500,,,,,0.0,,,,
1,1283143,,,,,0.162769,,,,
2,1081938,,,,,0.381602,,,,
3,905114,,,,,0.552675,,,,
4,700482,,,,,0.720121,,,,
5,492390,,,,,0.856901,,,,
6,327897,,,,,0.934829,,,,
7,182413,,,,,0.978478,,,,
8,164440,,,,,0.982761,,,,
9,164440,,,,,0.982761,,,,
10,164440,,,,,0.982761,,,,
0,164440,,,,,,0.982761,,,
1,164440,,,,,,0.982761,,,
2,164509,,,,,,0.982577,,,
3,164971,,,,,,0.98129,,,
4,167140,,,,,,0.977138,,,
5,173564,,,,,,0.967283,,,
6,191958,,,,,,0.942897,,,
7,258344,,,,,,0.892889,,,
8,346404,,,,,,0.802583,,,
9,494700,,,,,,0.665817,,,
10,706779,,,,,,0.490224,,,
11,953015,,,,,,0.303897,,,
12,1176430,,,,,,0.147067,,,
13,1321957,,,,,,0.0534109,,,
14,1388663,,,,,,0.0135728,,,
0,164420,,,,,,,0.982748,,
1,176924,,,,,,,0.982748,,
2,189420,,,,,,,0.979516,,
3,201924,,,,,,,0.979516,,
4,214420,,,,,,,0.953264,,
5,250888,,,,,,,0.940492,,
6,263392,,,,,,,0.932688,,
7,275888,,,,,,,0.928142,,
8,288392,,,,,,,0.92596,,
0,164420,,,,,,,,0.982748,
0,1413471,,,,,,,,,2.62784e-05
