,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.977636,,,,,,,,,,,,
2,262534,0.829544,,,,,,,,,,,,
3,387534,0.67004,,,,,,,,,,,,
4,512534,0.594531,,,,,,,,,,,,
5,637534,0.56733,,,,,,,,,,,,
6,762534,0.557105,,,,,,,,,,,,
7,887534,0.554004,,,,,,,,,,,,
0,554908,,0.0,,,,,,,,,,,
1,538310,,0.0318442,,,,,,,,,,,
2,508817,,0.0653719,,,,,,,,,,,
3,382650,,0.290142,,,,,,,,,,,
4,324777,,0.374989,,,,,,,,,,,
5,249656,,0.504209,,,,,,,,,,,
6,234544,,0.5262,,,,,,,,,,,
7,231873,,0.529124,,,,,,,,,,,
8,231570,,0.529514,,,,,,,,,,,
9,231017,,0.529514,,,,,,,,,,,
10,231017,,0.529514,,,,,,,,,,,
0,231017,,,0.529514,,,,,,,,,,
1,231017,,,0.529514,,,,,,,,,,
2,231380,,,0.528592,,,,,,,,,,
3,232906,,,0.525509,,,,,,,,,,
4,236546,,,0.519962,,,,,,,,,,
5,256551,,,0.479878,,,,,,,,,,
6,288966,,,0.420673,,,,,,,,,,
7,330622,,,0.350357,,,,,,,,,,
8,377730,,,0.27694,,,,,,,,,,
9,443374,,,0.165565,,,,,,,,,,
10,493268,,,0.0868317,,,,,,,,,,
11,525063,,,0.0394287,,,,,,,,,,
12,560842,,,0.0159664,,,,,,,,,,
13,569949,,,0.004696,,,,,,,,,,
14,553442,,,0.00141766,,,,,,,,,,
0,452986,,,,0.111038,,,,,,,,,
0,575967,,,,,0.614839,,,,,,,,
1,546855,,,,,0.618933,,,,,,,,
2,522724,,,,,0.625844,,,,,,,,
3,502065,,,,,0.633251,,,,,,,,
4,484414,,,,,0.638124,,,,,,,,
5,469183,,,,,0.641739,,,,,,,,
6,455569,,,,,0.646471,,,,,,,,
7,443601,,,,,0.653276,,,,,,,,
8,432920,,,,,0.656944,,,,,,,,
9,423526,,,,,0.662455,,,,,,,,
0,581181,,,,,,0.614698,,,,,,,
1,552578,,,,,,0.619447,,,,,,,
2,528743,,,,,,0.625117,,,,,,,
3,508574,,,,,,0.632241,,,,,,,
4,491287,,,,,,0.637203,,,,,,,
5,476305,,,,,,0.643139,,,,,,,
6,463196,,,,,,0.646878,,,,,,,
7,451628,,,,,,0.652,,,,,,,
8,441347,,,,,,0.656253,,,,,,,
9,432147,,,,,,0.661321,,,,,,,
0,528743,,,,,,,0.647215,,,,,,
1,500140,,,,,,,0.651521,,,,,,
2,476305,,,,,,,0.657794,,,,,,
3,456137,,,,,,,0.665911,,,,,,
4,438850,,,,,,,0.669933,,,,,,
5,423867,,,,,,,0.675338,,,,,,
6,410758,,,,,,,0.679591,,,,,,
7,399191,,,,,,,0.68411,,,,,,
8,388909,,,,,,,0.688646,,,,,,
9,379709,,,,,,,0.693395,,,,,,
0,476305,,,,,,,,0.702557,,,,,
1,447703,,,,,,,,0.707997,,,,,
2,423868,,,,,,,,0.71241,,,,,
3,403699,,,,,,,,0.72104,,,,,
4,386412,,,,,,,,0.72446,,,,,
5,371429,,,,,,,,0.729776,,,,,
6,358320,,,,,,,,0.734366,,,,,
7,346753,,,,,,,,0.737308,,,,,
8,336471,,,,,,,,0.7425,,,,,
9,327272,,,,,,,,0.746841,,,,,
0,597795,,,,,,,,,0.613546,,,,
1,570200,,,,,,,,,0.62129,,,,
2,547204,,,,,,,,,0.623842,,,,
3,527745,,,,,,,,,0.632312,,,,
4,511067,,,,,,,,,0.637593,,,,
5,496612,,,,,,,,,0.64181,,,,
6,483964,,,,,,,,,0.647127,,,,
7,472804,,,,,,,,,0.65122,,,,
8,462884,,,,,,,,,0.654871,,,,
9,454008,,,,,,,,,0.66249,,,,
0,547204,,,,,,,,,,0.644965,,,
1,519608,,,,,,,,,,0.652585,,,
2,496612,,,,,,,,,,0.655172,,,
3,477154,,,,,,,,,,0.66428,,,
4,460475,,,,,,,,,,0.668657,,,
5,446020,,,,,,,,,,0.673725,,,
6,433373,,,,,,,,,,0.679024,,,
7,422213,,,,,,,,,,0.682692,,,
8,412293,,,,,,,,,,0.686289,,,
9,403417,,,,,,,,,,0.693183,,,
0,496612,,,,,,,,,,,0.698517,,
1,469017,,,,,,,,,,,0.706863,,
2,446021,,,,,,,,,,,0.709575,,
3,426562,,,,,,,,,,,0.717567,,
4,409883,,,,,,,,,,,0.721749,,
5,395429,,,,,,,,,,,0.72609,,
6,382781,,,,,,,,,,,0.731655,,
7,371621,,,,,,,,,,,0.734401,,
8,361701,,,,,,,,,,,0.738743,,
9,352825,,,,,,,,,,,0.745317,,
0,452986,,,,0.111038,,,,,,,,,
1,465498,,,,0.111038,,,,,,,,,
2,477994,,,,0.110117,,,,,,,,,
3,490498,,,,0.110117,,,,,,,,,
4,502994,,,,0.102426,,,,,,,,,
5,515490,,,,0.0990767,,,,,,,,,
6,527994,,,,0.0969325,,,,,,,,,
7,540498,,,,0.0957275,,,,,,,,,
8,552994,,,,0.0952136,,,,,,,,,
0,452986,,,,,,,,,,,,0.111038,
0,554911,,,,,,,,,,,,,0.000159487
