,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.979844,,,,,,,,,,,,
2,262534,0.831877,,,,,,,,,,,,
3,387534,0.666738,,,,,,,,,,,,
4,512534,0.580517,,,,,,,,,,,,
5,637534,0.549203,,,,,,,,,,,,
6,762534,0.538057,,,,,,,,,,,,
7,887534,0.534608,,,,,,,,,,,,
0,554908,,0.0,,,,,,,,,,,
1,538310,,0.133252,,,,,,,,,,,
2,508817,,0.139446,,,,,,,,,,,
3,382650,,0.438064,,,,,,,,,,,
4,324777,,0.468161,,,,,,,,,,,
5,249656,,0.564741,,,,,,,,,,,
6,234544,,0.574407,,,,,,,,,,,
7,231873,,0.575326,,,,,,,,,,,
8,231570,,0.575481,,,,,,,,,,,
9,231017,,0.575481,,,,,,,,,,,
10,231017,,0.575481,,,,,,,,,,,
0,231017,,,0.575481,,,,,,,,,,
1,231017,,,0.575481,,,,,,,,,,
2,231380,,,0.572557,,,,,,,,,,
3,232906,,,0.566471,,,,,,,,,,
4,236546,,,0.556542,,,,,,,,,,
5,256551,,,0.501432,,,,,,,,,,
6,288966,,,0.427884,,,,,,,,,,
7,330622,,,0.348286,,,,,,,,,,
8,377730,,,0.270084,,,,,,,,,,
9,443374,,,0.157167,,,,,,,,,,
10,493268,,,0.0802544,,,,,,,,,,
11,525063,,,0.0355745,,,,,,,,,,
12,560842,,,0.0139863,,,,,,,,,,
13,569949,,,0.00409327,,,,,,,,,,
14,553442,,,0.00125304,,,,,,,,,,
0,452986,,,,0.133741,,,,,,,,,
0,575967,,,,,0.596687,,,,,,,,
1,546855,,,,,0.604492,,,,,,,,
2,522724,,,,,0.61065,,,,,,,,
3,502065,,,,,0.614659,,,,,,,,
4,484414,,,,,0.621641,,,,,,,,
5,469183,,,,,0.626295,,,,,,,,
6,455569,,,,,0.633312,,,,,,,,
7,443601,,,,,0.638599,,,,,,,,
8,432920,,,,,0.642238,,,,,,,,
9,423526,,,,,0.64836,,,,,,,,
0,581181,,,,,,0.599134,,,,,,,
1,552578,,,,,,0.604265,,,,,,,
2,528743,,,,,,0.610829,,,,,,,
3,508574,,,,,,0.615017,,,,,,,
4,491287,,,,,,0.62287,,,,,,,
5,476305,,,,,,0.628658,,,,,,,
6,463196,,,,,,0.63435,,,,,,,
7,451628,,,,,,0.636976,,,,,,,
8,441347,,,,,,0.642525,,,,,,,
9,432147,,,,,,0.649088,,,,,,,
0,528743,,,,,,,0.630126,,,,,,
1,500140,,,,,,,0.635197,,,,,,
2,476305,,,,,,,0.642799,,,,,,
3,456137,,,,,,,0.645962,,,,,,
4,438850,,,,,,,0.653468,,,,,,
5,423867,,,,,,,0.659029,,,,,,
6,410758,,,,,,,0.664483,,,,,,
7,399191,,,,,,,0.667287,,,,,,
8,388909,,,,,,,0.673672,,,,,,
9,379709,,,,,,,0.679018,,,,,,
0,476305,,,,,,,,0.685761,,,,,
1,447703,,,,,,,,0.691978,,,,,
2,423868,,,,,,,,0.698828,,,,,
3,403699,,,,,,,,0.701812,,,,,
4,386412,,,,,,,,0.708685,,,,,
5,371429,,,,,,,,0.714247,,,,,
6,358320,,,,,,,,0.719509,,,,,
7,346753,,,,,,,,0.721586,,,,,
8,336471,,,,,,,,0.727195,,,,,
9,327272,,,,,,,,0.732744,,,,,
0,597795,,,,,,,,,0.599599,,,,
1,570200,,,,,,,,,0.60269,,,,
2,547204,,,,,,,,,0.611771,,,,
3,527745,,,,,,,,,0.616545,,,,
4,511067,,,,,,,,,0.621653,,,,
5,496612,,,,,,,,,0.627906,,,,
6,483964,,,,,,,,,0.633383,,,,
7,472804,,,,,,,,,0.639947,,,,
8,462884,,,,,,,,,0.641403,,,,
9,454008,,,,,,,,,0.650711,,,,
0,547204,,,,,,,,,,0.631331,,,
1,519608,,,,,,,,,,0.634278,,,
2,496612,,,,,,,,,,0.643372,,,
3,477154,,,,,,,,,,0.647955,,,
4,460475,,,,,,,,,,0.65243,,,
5,446020,,,,,,,,,,0.658564,,,
6,433373,,,,,,,,,,0.663826,,,
7,422213,,,,,,,,,,0.670187,,,
8,412293,,,,,,,,,,0.671619,,,
9,403417,,,,,,,,,,0.681202,,,
0,496612,,,,,,,,,,,0.687658,,
1,469017,,,,,,,,,,,0.691023,,
2,446021,,,,,,,,,,,0.699055,,
3,426562,,,,,,,,,,,0.703721,,
4,409883,,,,,,,,,,,0.708375,,
5,395429,,,,,,,,,,,0.713888,,
6,382781,,,,,,,,,,,0.717791,,
7,371621,,,,,,,,,,,0.724915,,
8,361701,,,,,,,,,,,0.726741,,
9,352825,,,,,,,,,,,0.73531,,
0,452986,,,,0.133741,,,,,,,,,
1,465498,,,,0.133741,,,,,,,,,
2,477994,,,,0.13373,,,,,,,,,
3,490498,,,,0.13373,,,,,,,,,
4,502994,,,,0.132107,,,,,,,,,
5,515490,,,,0.131068,,,,,,,,,
6,527994,,,,0.130758,,,,,,,,,
7,540498,,,,0.130651,,,,,,,,,
8,552994,,,,0.130579,,,,,,,,,
0,452986,,,,,,,,,,,,0.133741,
0,554911,,,,,,,,,,,,,0.000274476
