,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.990939,,,,,,,,,,,,
1,137534,0.0245834,,,,,,,,,,,,
2,262534,0.00304043,,,,,,,,,,,,
3,387534,0.00110015,,,,,,,,,,,,
4,512534,0.000620087,,,,,,,,,,,,
5,637534,0.000350049,,,,,,,,,,,,
6,762534,0.000230032,,,,,,,,,,,,
7,887534,0.000200028,,,,,,,,,,,,
0,868583,,0.0,,,,,,,,,,,
1,741798,,0.0,,,,,,,,,,,
2,529647,,0.0,,,,,,,,,,,
3,387693,,1.00014e-05,,,,,,,,,,,
4,276694,,2.00028e-05,,,,,,,,,,,
5,225984,,0.000100014,,,,,,,,,,,
6,215454,,0.000390055,,,,,,,,,,,
7,213763,,0.00129018,,,,,,,,,,,
8,213259,,0.0112916,,,,,,,,,,,
9,212923,,0.0187926,,,,,,,,,,,
10,212923,,0.0187926,,,,,,,,,,,
0,212923,,,0.0187926,,,,,,,,,,
1,212923,,,0.0187926,,,,,,,,,,
2,220080,,,0.0187926,,,,,,,,,,
3,243404,,,0.0187826,,,,,,,,,,
4,292276,,,0.0187426,,,,,,,,,,
5,372189,,,0.0187326,,,,,,,,,,
6,477601,,,0.0186326,,,,,,,,,,
7,589339,,,0.0185826,,,,,,,,,,
8,706626,,,0.0184626,,,,,,,,,,
9,781618,,,0.0181325,,,,,,,,,,
10,826915,,,0.0178925,,,,,,,,,,
11,850695,,,0.0158322,,,,,,,,,,
12,862011,,,0.00889124,,,,,,,,,,
13,866265,,,0.00527074,,,,,,,,,,
14,867987,,,0.00167023,,,,,,,,,,
0,221093,,,,0.0188026,,,,,,,,,
0,876902,,,,,0.000680095,,,,,,,,
1,832802,,,,,0.000690097,,,,,,,,
2,796148,,,,,0.000780109,,,,,,,,
3,764926,,,,,0.000740104,,,,,,,,
4,738090,,,,,0.000810113,,,,,,,,
5,714836,,,,,0.000780109,,,,,,,,
6,694463,,,,,0.00086012,,,,,,,,
7,676391,,,,,0.000810113,,,,,,,,
8,660276,,,,,0.000810113,,,,,,,,
9,645896,,,,,0.000780109,,,,,,,,
0,883021,,,,,,0.000700098,,,,,,,
1,839495,,,,,,0.000680095,,,,,,,
2,803224,,,,,,0.000680095,,,,,,,
3,772532,,,,,,0.000670094,,,,,,,
4,746226,,,,,,0.000690097,,,,,,,
5,723427,,,,,,0.000670094,,,,,,,
6,703477,,,,,,0.000700098,,,,,,,
7,685875,,,,,,0.000700098,,,,,,,
8,670228,,,,,,0.000700098,,,,,,,
9,656229,,,,,,0.000670094,,,,,,,
0,803224,,,,,,,0.000820115,,,,,,
1,759698,,,,,,,0.000780109,,,,,,
2,723427,,,,,,,0.000780109,,,,,,
3,692735,,,,,,,0.000770108,,,,,,
4,666429,,,,,,,0.000810113,,,,,,
5,643629,,,,,,,0.000780109,,,,,,
6,623680,,,,,,,0.000830116,,,,,,
7,606078,,,,,,,0.000820115,,,,,,
8,590431,,,,,,,0.000800112,,,,,,
9,576432,,,,,,,0.000830116,,,,,,
0,723427,,,,,,,,0.00102014,,,,,
1,679901,,,,,,,,0.000970136,,,,,
2,643629,,,,,,,,0.000990139,,,,,
3,612938,,,,,,,,0.00100014,,,,,
4,586631,,,,,,,,0.00101014,,,,,
5,563832,,,,,,,,0.000990139,,,,,
6,543883,,,,,,,,0.00104015,,,,,
7,526280,,,,,,,,0.00107015,,,,,
8,510634,,,,,,,,0.000970136,,,,,
9,496634,,,,,,,,0.00104015,,,,,
0,906267,,,,,,,,,0.000690097,,,,
1,864150,,,,,,,,,0.000690097,,,,
2,829052,,,,,,,,,0.000690097,,,,
3,799354,,,,,,,,,0.000690097,,,,
4,773899,,,,,,,,,0.000690097,,,,
5,751838,,,,,,,,,0.000690097,,,,
6,732534,,,,,,,,,0.000690097,,,,
7,715502,,,,,,,,,0.000690097,,,,
8,700361,,,,,,,,,0.000700098,,,,
9,686815,,,,,,,,,0.000690097,,,,
0,829052,,,,,,,,,,0.000690097,,,
1,786935,,,,,,,,,,0.000690097,,,
2,751838,,,,,,,,,,0.000690097,,,
3,722140,,,,,,,,,,0.000690097,,,
4,696684,,,,,,,,,,0.000690097,,,
5,674623,,,,,,,,,,0.000690097,,,
6,655320,,,,,,,,,,0.000690097,,,
7,638287,,,,,,,,,,0.000690097,,,
8,623147,,,,,,,,,,0.000700098,,,
9,609601,,,,,,,,,,0.000690097,,,
0,751838,,,,,,,,,,,0.000690097,,
1,709721,,,,,,,,,,,0.000690097,,
2,674623,,,,,,,,,,,0.000690097,,
3,644925,,,,,,,,,,,0.000690097,,
4,619470,,,,,,,,,,,0.000690097,,
5,597409,,,,,,,,,,,0.000690097,,
6,578105,,,,,,,,,,,0.000690097,,
7,561073,,,,,,,,,,,0.000690097,,
8,545933,,,,,,,,,,,0.000700098,,
9,532386,,,,,,,,,,,0.000690097,,
0,221093,,,,0.0188026,,,,,,,,,
1,233597,,,,0.0188026,,,,,,,,,
2,246101,,,,0.0188026,,,,,,,,,
3,258597,,,,0.0188026,,,,,,,,,
4,271101,,,,0.00957134,,,,,,,,,
5,283597,,,,0.00521073,,,,,,,,,
6,296101,,,,0.00275039,,,,,,,,,
7,308597,,,,0.00132018,,,,,,,,,
8,321101,,,,0.000680095,,,,,,,,,
0,221093,,,,,,,,,,,,0.0188026,
0,869777,,,,,,,,,,,,,0.0
