,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.999979,,,,,,,,,,,,
1,137534,0.996305,,,,,,,,,,,,
2,262534,0.950258,,,,,,,,,,,,
3,387534,0.844587,,,,,,,,,,,,
4,512534,0.731611,,,,,,,,,,,,
5,637534,0.650642,,,,,,,,,,,,
6,762534,0.602631,,,,,,,,,,,,
7,887534,0.577232,,,,,,,,,,,,
0,899883,,0.0,,,,,,,,,,,
1,780630,,0.208196,,,,,,,,,,,
2,609244,,0.458133,,,,,,,,,,,
3,480862,,0.62575,,,,,,,,,,,
4,366408,,0.749472,,,,,,,,,,,
5,287652,,0.817372,,,,,,,,,,,
6,211976,,0.842349,,,,,,,,,,,
7,197408,,0.849949,,,,,,,,,,,
8,194320,,0.851322,,,,,,,,,,,
9,194282,,0.851364,,,,,,,,,,,
10,194282,,0.851364,,,,,,,,,,,
0,194282,,,0.851364,,,,,,,,,,
1,194282,,,0.851364,,,,,,,,,,
2,203637,,,0.830779,,,,,,,,,,
3,225279,,,0.788046,,,,,,,,,,
4,300648,,,0.721561,,,,,,,,,,
5,355704,,,0.631239,,,,,,,,,,
6,426508,,,0.526983,,,,,,,,,,
7,510614,,,0.415147,,,,,,,,,,
8,599905,,,0.304683,,,,,,,,,,
9,689981,,,0.200785,,,,,,,,,,
10,768057,,,0.118297,,,,,,,,,,
11,827695,,,0.0610801,,,,,,,,,,
12,865030,,,0.0279748,,,,,,,,,,
13,885790,,,0.0105777,,,,,,,,,,
14,895348,,,0.0032303,,,,,,,,,,
0,211280,,,,0.830462,,,,,,,,,
0,896406,,,,,0.625728,,,,,,,,
1,851350,,,,,0.632759,,,,,,,,
2,813732,,,,,0.639895,,,,,,,,
3,781946,,,,,0.645701,,,,,,,,
4,754551,,,,,0.651866,,,,,,,,
5,730771,,,,,0.657905,,,,,,,,
6,709931,,,,,0.664154,,,,,,,,
7,691503,,,,,0.66882,,,,,,,,
8,674966,,,,,0.67431,,,,,,,,
9,660372,,,,,0.681488,,,,,,,,
0,917439,,,,,,0.628769,,,,,,,
1,873835,,,,,,0.632886,,,,,,,
2,837499,,,,,,0.637636,,,,,,,
3,806752,,,,,,0.647348,,,,,,,
4,780399,,,,,,0.652816,,,,,,,
5,757558,,,,,,0.658644,,,,,,,
6,737574,,,,,,0.66388,,,,,,,
7,719940,,,,,,0.669179,,,,,,,
8,704265,,,,,,0.673402,,,,,,,
9,690240,,,,,,0.685415,,,,,,,
0,837499,,,,,,,0.660227,,,,,,
1,793895,,,,,,,0.664534,,,,,,
2,757559,,,,,,,0.669454,,,,,,
3,726812,,,,,,,0.678511,,,,,,
4,700458,,,,,,,0.683409,,,,,,
5,677618,,,,,,,0.688983,,,,,,
6,657633,,,,,,,0.695043,,,,,,
7,639999,,,,,,,0.700025,,,,,,
8,624325,,,,,,,0.703699,,,,,,
9,610300,,,,,,,0.715121,,,,,,
0,757559,,,,,,,,0.713749,,,,,
1,713955,,,,,,,,0.716662,,,,,
2,677618,,,,,,,,0.723334,,,,,
3,646872,,,,,,,,0.729858,,,,,
4,620518,,,,,,,,0.734735,,,,,
5,597678,,,,,,,,0.741259,,,,,
6,577693,,,,,,,,0.746221,,,,,
7,560059,,,,,,,,0.750528,,,,,
8,544385,,,,,,,,0.754856,,,,,
9,530360,,,,,,,,0.764674,,,,,
0,976934,,,,,,,,,0.623913,,,,
1,936936,,,,,,,,,0.633097,,,,
2,903604,,,,,,,,,0.637341,,,,
3,875401,,,,,,,,,0.645976,,,,
4,851226,,,,,,,,,0.650832,,,,
5,830275,,,,,,,,,0.656744,,,,
6,811942,,,,,,,,,0.663436,,,,
7,795767,,,,,,,,,0.666962,,,,
8,781388,,,,,,,,,0.672599,,,,
9,768524,,,,,,,,,0.679546,,,,
0,903605,,,,,,,,,,0.654801,,,
1,863606,,,,,,,,,,0.66274,,,
2,830275,,,,,,,,,,0.667596,,,
3,802071,,,,,,,,,,0.676273,,,
4,777897,,,,,,,,,,0.679672,,,
5,756945,,,,,,,,,,0.686133,,,
6,738613,,,,,,,,,,0.693058,,,
7,722437,,,,,,,,,,0.697407,,,
8,708059,,,,,,,,,,0.702221,,,
9,695194,,,,,,,,,,0.708281,,,
0,830275,,,,,,,,,,,0.706233,,
1,790277,,,,,,,,,,,0.71377,,
2,756945,,,,,,,,,,,0.719407,,
3,728742,,,,,,,,,,,0.726966,,
4,704567,,,,,,,,,,,0.729753,,
5,683616,,,,,,,,,,,0.735326,,
6,665283,,,,,,,,,,,0.742399,,
7,649108,,,,,,,,,,,0.745503,,
8,634729,,,,,,,,,,,0.751351,,
9,621865,,,,,,,,,,,0.756798,,
0,211280,,,,0.830462,,,,,,,,,
1,223792,,,,0.830462,,,,,,,,,
2,274073,,,,0.825184,,,,,,,,,
3,286577,,,,0.825184,,,,,,,,,
4,299073,,,,0.760008,,,,,,,,,
5,311577,,,,0.727705,,,,,,,,,
6,324073,,,,0.706845,,,,,,,,,
7,336577,,,,0.695169,,,,,,,,,
8,349073,,,,0.689363,,,,,,,,,
0,211280,,,,,,,,,,,,0.830462,
0,903823,,,,,,,,,,,,,0.00988092
