,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.996346,,,,,,,,,,,,
2,262534,0.949231,,,,,,,,,,,,
3,387534,0.838908,,,,,,,,,,,,
4,512534,0.717873,,,,,,,,,,,,
5,637534,0.633607,,,,,,,,,,,,
6,762534,0.582356,,,,,,,,,,,,
7,887534,0.556283,,,,,,,,,,,,
0,899883,,0.0,,,,,,,,,,,
1,780630,,0.939831,,,,,,,,,,,
2,609244,,0.953101,,,,,,,,,,,
3,480862,,0.96177,,,,,,,,,,,
4,366408,,0.965058,,,,,,,,,,,
5,287652,,0.966187,,,,,,,,,,,
6,211976,,0.96642,,,,,,,,,,,
7,197408,,0.96647,,,,,,,,,,,
8,194320,,0.966486,,,,,,,,,,,
9,194282,,0.966486,,,,,,,,,,,
10,194282,,0.966486,,,,,,,,,,,
0,194282,,,0.966486,,,,,,,,,,
1,194282,,,0.966486,,,,,,,,,,
2,203637,,,0.895124,,,,,,,,,,
3,225279,,,0.80747,,,,,,,,,,
4,300648,,,0.705334,,,,,,,,,,
5,355704,,,0.591274,,,,,,,,,,
6,426508,,,0.474375,,,,,,,,,,
7,510614,,,0.360265,,,,,,,,,,
8,599905,,,0.25705,,,,,,,,,,
9,689981,,,0.166357,,,,,,,,,,
10,768057,,,0.0958581,,,,,,,,,,
11,827695,,,0.0482778,,,,,,,,,,
12,865030,,,0.021407,,,,,,,,,,
13,885790,,,0.00808782,,,,,,,,,,
14,895348,,,0.00229183,,,,,,,,,,
0,211280,,,,0.946889,,,,,,,,,
0,896406,,,,,0.608679,,,,,,,,
1,851350,,,,,0.614209,,,,,,,,
2,813732,,,,,0.621633,,,,,,,,
3,781946,,,,,0.626798,,,,,,,,
4,754551,,,,,0.632311,,,,,,,,
5,730771,,,,,0.640897,,,,,,,,
6,709931,,,,,0.646793,,,,,,,,
7,691503,,,,,0.653801,,,,,,,,
8,674966,,,,,0.659913,,,,,,,,
9,660372,,,,,0.666772,,,,,,,,
0,917439,,,,,,0.60838,,,,,,,
1,873835,,,,,,0.614907,,,,,,,
2,837499,,,,,,0.622231,,,,,,,
3,806752,,,,,,0.628807,,,,,,,
4,780399,,,,,,0.634454,,,,,,,
5,757558,,,,,,0.644983,,,,,,,
6,737574,,,,,,0.649268,,,,,,,
7,719940,,,,,,0.652572,,,,,,,
8,704265,,,,,,0.659431,,,,,,,
9,690240,,,,,,0.665427,,,,,,,
0,837499,,,,,,,0.638938,,,,,,
1,793895,,,,,,,0.64583,,,,,,
2,757559,,,,,,,0.653436,,,,,,
3,726812,,,,,,,0.6588,,,,,,
4,700458,,,,,,,0.664862,,,,,,
5,677618,,,,,,,0.67579,,,,,,
6,657633,,,,,,,0.679593,,,,,,
7,639999,,,,,,,0.682864,,,,,,
8,624325,,,,,,,0.689375,,,,,,
9,610300,,,,,,,0.694938,,,,,,
0,757559,,,,,,,,0.692895,,,,,
1,713955,,,,,,,,0.699754,,,,,
2,677618,,,,,,,,0.707145,,,,,
3,646872,,,,,,,,0.711745,,,,,
4,620518,,,,,,,,0.717275,,,,,
5,597678,,,,,,,,0.727937,,,,,
6,577693,,,,,,,,0.731939,,,,,
7,560059,,,,,,,,0.734397,,,,,
8,544385,,,,,,,,0.74026,,,,,
9,530360,,,,,,,,0.745159,,,,,
0,976934,,,,,,,,,0.608912,,,,
1,936936,,,,,,,,,0.616136,,,,
2,903604,,,,,,,,,0.624772,,,,
3,875401,,,,,,,,,0.630933,,,,
4,851226,,,,,,,,,0.637244,,,,
5,830275,,,,,,,,,0.64304,,,,
6,811942,,,,,,,,,0.650065,,,,
7,795767,,,,,,,,,0.654051,,,,
8,781388,,,,,,,,,0.661989,,,,
9,768524,,,,,,,,,0.669363,,,,
0,903605,,,,,,,,,,0.639569,,,
1,863606,,,,,,,,,,0.646428,,,
2,830275,,,,,,,,,,0.654997,,,
3,802071,,,,,,,,,,0.66164,,,
4,777897,,,,,,,,,,0.667336,,,
5,756945,,,,,,,,,,0.673797,,,
6,738613,,,,,,,,,,0.680573,,,
7,722437,,,,,,,,,,0.684044,,,
8,708059,,,,,,,,,,0.69263,,,
9,695194,,,,,,,,,,0.698625,,,
0,830275,,,,,,,,,,,0.693792,,
1,790277,,,,,,,,,,,0.700535,,
2,756945,,,,,,,,,,,0.707842,,
3,728742,,,,,,,,,,,0.713406,,
4,704567,,,,,,,,,,,0.719301,,
5,683616,,,,,,,,,,,0.726226,,
6,665283,,,,,,,,,,,0.73262,,
7,649108,,,,,,,,,,,0.73654,,
8,634729,,,,,,,,,,,0.742867,,
9,621865,,,,,,,,,,,0.749112,,
0,211280,,,,0.946889,,,,,,,,,
1,223792,,,,0.946889,,,,,,,,,
2,274073,,,,0.946042,,,,,,,,,
3,286577,,,,0.946042,,,,,,,,,
4,299073,,,,0.909656,,,,,,,,,
5,311577,,,,0.88976,,,,,,,,,
6,324073,,,,0.878218,,,,,,,,,
7,336577,,,,0.87194,,,,,,,,,
8,349073,,,,0.868336,,,,,,,,,
0,211280,,,,,,,,,,,,0.946889,
0,903823,,,,,,,,,,,,,0.0187
