,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.977636,,,,,,
2,262534,0.829544,,,,,,
3,387534,0.67004,,,,,,
4,512534,0.594531,,,,,,
5,637534,0.56733,,,,,,
6,762534,0.557105,,,,,,
7,887534,0.554004,,,,,,
0,554908,,0.0,,,,,
1,538310,,0.0318442,,,,,
2,508817,,0.0653719,,,,,
3,382650,,0.290142,,,,,
4,324777,,0.374989,,,,,
5,249656,,0.504209,,,,,
6,234544,,0.5262,,,,,
7,231873,,0.529124,,,,,
8,231570,,0.529514,,,,,
9,231017,,0.529514,,,,,
10,231017,,0.529514,,,,,
0,231017,,,0.529514,,,,
1,231017,,,0.529514,,,,
2,231380,,,0.528592,,,,
3,232906,,,0.525509,,,,
4,236546,,,0.519962,,,,
5,256551,,,0.479878,,,,
6,288966,,,0.420673,,,,
7,330622,,,0.350357,,,,
8,377730,,,0.27694,,,,
9,443374,,,0.165565,,,,
10,493268,,,0.0868317,,,,
11,525063,,,0.0394287,,,,
12,560842,,,0.0159664,,,,
13,569949,,,0.004696,,,,
14,553442,,,0.00141766,,,,
0,575967,,,,0.614839,,,
1,546855,,,,0.618933,,,
2,522724,,,,0.625844,,,
3,502065,,,,0.633251,,,
4,484414,,,,0.638124,,,
5,469183,,,,0.641739,,,
6,455569,,,,0.646471,,,
7,443601,,,,0.653276,,,
8,432920,,,,0.656944,,,
9,423526,,,,0.662455,,,
0,452986,,,,,0.111038,,
1,465498,,,,,0.111038,,
2,477994,,,,,0.110117,,
3,490498,,,,,0.110117,,
4,502994,,,,,0.102426,,
5,515490,,,,,0.0990767,,
6,527994,,,,,0.0969325,,
7,540498,,,,,0.0957275,,
8,552994,,,,,0.0952136,,
0,452986,,,,,,0.111038,
0,554911,,,,,,,0.000159487
