,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.974469,,,,,,
1,137534,0.714154,,,,,,
2,262534,0.508231,,,,,,
3,387534,0.229562,,,,,,
4,512534,0.0830181,,,,,,
5,637534,0.0303017,,,,,,
6,762534,0.00979971,,,,,,
7,887534,0.00260036,,,,,,
0,554908,,0.000257887,,,,,
1,538310,,0.397705,,,,,
2,508817,,0.403916,,,,,
3,382650,,0.620756,,,,,
4,324777,,0.670077,,,,,
5,249656,,0.727843,,,,,
6,234544,,0.748259,,,,,
7,231873,,0.753718,,,,,
8,231570,,0.754921,,,,,
9,231017,,0.754921,,,,,
10,231017,,0.754921,,,,,
0,231017,,,0.754921,,,,
1,231017,,,0.754921,,,,
2,231380,,,0.74611,,,,
3,232906,,,0.72636,,,,
4,236546,,,0.694619,,,,
5,256551,,,0.616049,,,,
6,288966,,,0.508897,,,,
7,330622,,,0.392676,,,,
8,377730,,,0.27682,,,,
9,443374,,,0.161932,,,,
10,493268,,,0.0854251,,,,
11,525063,,,0.0390269,,,,
12,560842,,,0.0153873,,,,
13,569949,,,0.0050288,,,,
14,553442,,,0.00197713,,,,
0,575967,,,,0.135283,,,
1,546855,,,,0.149639,,,
2,522724,,,,0.163586,,,
3,502065,,,,0.170205,,,
4,484414,,,,0.180306,,,
5,469183,,,,0.19593,,,
6,455569,,,,0.205665,,,
7,443601,,,,0.215851,,,
8,432920,,,,0.227757,,,
9,423526,,,,0.232313,,,
0,452986,,,,,0.435614,,
1,465498,,,,,0.435614,,
2,477994,,,,,0.43527,,
3,490498,,,,,0.43527,,
4,502994,,,,,0.420528,,
5,515490,,,,,0.413436,,
6,527994,,,,,0.405377,,
7,540498,,,,,0.401079,,
8,552994,,,,,0.398092,,
0,452986,,,,,,0.435614,
0,554911,,,,,,,0.000687699
