,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.995737,,,,,,
2,262534,0.945682,,,,,,
3,387534,0.836124,,,,,,
4,512534,0.727407,,,,,,
5,637534,0.649333,,,,,,
6,762534,0.604382,,,,,,
7,887534,0.583004,,,,,,
0,868583,,0.0,,,,,
1,741798,,0.208211,,,,,
2,529647,,0.473179,,,,,
3,387693,,0.64675,,,,,
4,276694,,0.758686,,,,,
5,225984,,0.799352,,,,,
6,215454,,0.805727,,,,,
7,213763,,0.80667,,,,,
8,213259,,0.806711,,,,,
9,212923,,0.806711,,,,,
10,212923,,0.806711,,,,,
0,212923,,,0.806711,,,,
1,212923,,,0.806711,,,,
2,220080,,,0.79185,,,,
3,243404,,,0.748991,,,,
4,292276,,,0.667247,,,,
5,372189,,,0.545822,,,,
6,477601,,,0.403468,,,,
7,589339,,,0.265481,,,,
8,706626,,,0.154078,,,,
9,781618,,,0.0763113,,,,
10,826915,,,0.0322012,,,,
11,850695,,,0.0116219,,,,
12,862011,,,0.00360752,,,,
13,866265,,,0.000840388,,,,
14,867987,,,0.000102486,,,,
0,876902,,,,0.631521,,,
1,832802,,,,0.63808,,,
2,796148,,,,0.646115,,,
3,764926,,,,0.653637,,,
4,738090,,,,0.66075,,,
5,714836,,,,0.66448,,,
6,694463,,,,0.672064,,,
7,676391,,,,0.674565,,,
8,660276,,,,0.679341,,,
9,645896,,,,0.686781,,,
0,221093,,,,,0.795704,,
1,233597,,,,,0.795704,,
2,246101,,,,,0.790006,,
3,258597,,,,,0.790006,,
4,271101,,,,,0.722836,,
5,283597,,,,,0.687704,,
6,296101,,,,,0.666858,,
7,308597,,,,,0.654867,,
8,321101,,,,,0.648636,,
0,221093,,,,,,0.795704,
0,869777,,,,,,,0.00565724
