,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999979,,,,,,
1,137534,0.996305,,,,,,
2,262534,0.950258,,,,,,
3,387534,0.844587,,,,,,
4,512534,0.731611,,,,,,
5,637534,0.650642,,,,,,
6,762534,0.602631,,,,,,
7,887534,0.577232,,,,,,
0,899883,,0.0,,,,,
1,780630,,0.208196,,,,,
2,609244,,0.458133,,,,,
3,480862,,0.62575,,,,,
4,366408,,0.749472,,,,,
5,287652,,0.817372,,,,,
6,211976,,0.842349,,,,,
7,197408,,0.849949,,,,,
8,194320,,0.851322,,,,,
9,194282,,0.851364,,,,,
10,194282,,0.851364,,,,,
0,194282,,,0.851364,,,,
1,194282,,,0.851364,,,,
2,203637,,,0.830779,,,,
3,225279,,,0.788046,,,,
4,300648,,,0.721561,,,,
5,355704,,,0.631239,,,,
6,426508,,,0.526983,,,,
7,510614,,,0.415147,,,,
8,599905,,,0.304683,,,,
9,689981,,,0.200785,,,,
10,768057,,,0.118297,,,,
11,827695,,,0.0610801,,,,
12,865030,,,0.0279748,,,,
13,885790,,,0.0105777,,,,
14,895348,,,0.0032303,,,,
0,896406,,,,0.625728,,,
1,851350,,,,0.632759,,,
2,813732,,,,0.639895,,,
3,781946,,,,0.645701,,,
4,754551,,,,0.651866,,,
5,730771,,,,0.657905,,,
6,709931,,,,0.664154,,,
7,691503,,,,0.66882,,,
8,674966,,,,0.67431,,,
9,660372,,,,0.681488,,,
0,211280,,,,,0.830462,,
1,223792,,,,,0.830462,,
2,274073,,,,,0.825184,,
3,286577,,,,,0.825184,,
4,299073,,,,,0.760008,,
5,311577,,,,,0.727705,,
6,324073,,,,,0.706845,,
7,336577,,,,,0.695169,,
8,349073,,,,,0.689363,,
0,211280,,,,,,0.830462,
0,903823,,,,,,,0.00988092
