,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.996346,,,,,,
2,262534,0.949231,,,,,,
3,387534,0.838908,,,,,,
4,512534,0.717873,,,,,,
5,637534,0.633607,,,,,,
6,762534,0.582356,,,,,,
7,887534,0.556283,,,,,,
0,899883,,0.0,,,,,
1,780630,,0.939831,,,,,
2,609244,,0.953101,,,,,
3,480862,,0.96177,,,,,
4,366408,,0.965058,,,,,
5,287652,,0.966187,,,,,
6,211976,,0.96642,,,,,
7,197408,,0.96647,,,,,
8,194320,,0.966486,,,,,
9,194282,,0.966486,,,,,
10,194282,,0.966486,,,,,
0,194282,,,0.966486,,,,
1,194282,,,0.966486,,,,
2,203637,,,0.895124,,,,
3,225279,,,0.80747,,,,
4,300648,,,0.705334,,,,
5,355704,,,0.591274,,,,
6,426508,,,0.474375,,,,
7,510614,,,0.360265,,,,
8,599905,,,0.25705,,,,
9,689981,,,0.166357,,,,
10,768057,,,0.0958581,,,,
11,827695,,,0.0482778,,,,
12,865030,,,0.021407,,,,
13,885790,,,0.00808782,,,,
14,895348,,,0.00229183,,,,
0,896406,,,,0.608679,,,
1,851350,,,,0.614209,,,
2,813732,,,,0.621633,,,
3,781946,,,,0.626798,,,
4,754551,,,,0.632311,,,
5,730771,,,,0.640897,,,
6,709931,,,,0.646793,,,
7,691503,,,,0.653801,,,
8,674966,,,,0.659913,,,
9,660372,,,,0.666772,,,
0,211280,,,,,0.946889,,
1,223792,,,,,0.946889,,
2,274073,,,,,0.946042,,
3,286577,,,,,0.946042,,
4,299073,,,,,0.909656,,
5,311577,,,,,0.88976,,
6,324073,,,,,0.878218,,
7,336577,,,,,0.87194,,
8,349073,,,,,0.868336,,
0,211280,,,,,,0.946889,
0,903823,,,,,,,0.0187
