,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,71039,0.992269,,,,,
1,83539,0.992096,,,,,
2,96039,0.991967,,,,,
3,108539,0.991773,,,,,
4,121039,0.991278,,,,,
5,133539,0.991106,,,,,
0,85283,,0.978874,,,,
1,97783,,0.978615,,,,
2,110283,,0.978551,,,,
3,122783,,0.978249,,,,
4,135283,,0.977818,,,,
5,147783,,0.977754,,,,
0,112152,,,0.950791,,,
1,124652,,,0.950598,,,
2,137152,,,0.950468,,,
3,149652,,,0.950232,,,
4,162152,,,0.949715,,,
5,174652,,,0.949564,,,
0,158128,,,,0.89846,,
1,170628,,,,0.898396,,
2,183128,,,,0.898223,,
3,195628,,,,0.897836,,
4,208128,,,,0.897297,,
5,220628,,,,0.897211,,
0,452478,,,,,0.111834,
0,554797,,,,,,0.000150748
