,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,71039,0.000640122,,,,,
1,83539,0.000640122,,,,,
2,96039,0.000610116,,,,,
3,108539,0.000640122,,,,,
4,121039,0.000620118,,,,,
5,133539,0.000600114,,,,,
0,85283,,0.000150029,,,,
1,97783,,0.000150029,,,,
2,110283,,0.000140027,,,,
3,122783,,0.000150029,,,,
4,135283,,0.000150029,,,,
5,147783,,0.000140027,,,,
0,112152,,,1.00019e-05,,,
1,124652,,,1.00019e-05,,,
2,137152,,,1.00019e-05,,,
3,149652,,,1.00019e-05,,,
4,162152,,,1.00019e-05,,,
5,174652,,,1.00019e-05,,,
0,158128,,,,0.0,,
1,170628,,,,0.0,,
2,183128,,,,0.0,,
3,195628,,,,0.0,,
4,208128,,,,0.0,,
5,220628,,,,0.0,,
0,452478,,,,,0.00352067,
0,554797,,,,,,0.0
