,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,71039,0.761751,,,,,
1,83539,0.752603,,,,,
2,96039,0.751553,,,,,
3,108539,0.747054,,,,,
4,121039,0.744676,,,,,
5,133539,0.742513,,,,,
0,85283,,0.759994,,,,
1,97783,,0.751082,,,,
2,110283,,0.750803,,,,
3,122783,,0.746347,,,,
4,135283,,0.743755,,,,
5,147783,,0.742063,,,,
0,112152,,,0.755966,,,
1,124652,,,0.748618,,,
2,137152,,,0.748532,,,
3,149652,,,0.744119,,,
4,162152,,,0.742063,,,
5,174652,,,0.74082,,,
0,158128,,,,0.748747,,
1,170628,,,,0.743477,,
2,183128,,,,0.743134,,
3,195628,,,,0.740499,,
4,208128,,,,0.738656,,
5,220628,,,,0.738099,,
0,452478,,,,,0.435944,
0,554797,,,,,,0.000385621
