,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,73605,0.351942,,,,,
1,86105,0.285853,,,,,
2,98605,0.239567,,,,,
3,111105,0.20597,,,,,
4,123605,0.184948,,,,,
5,136105,0.165879,,,,,
0,93050,,0.336434,,,,
1,105550,,0.273566,,,,
2,118050,,0.230171,,,,
3,130550,,0.198567,,,,
4,143050,,0.17896,,,,
5,155550,,0.16116,,,,
0,135525,,,0.296054,,,
1,148025,,,0.243067,,,
2,160525,,,0.207477,,,
3,173025,,,0.180839,,,
4,185525,,,0.163937,,,
5,198025,,,0.149245,,,
0,213158,,,,0.223574,,
1,225658,,,,0.18946,,
2,238158,,,,0.165125,,
3,250658,,,,0.147284,,
4,263158,,,,0.135637,,
5,275658,,,,0.124569,,
0,220815,,,,,0.498606,
0,871254,,,,,,0.0177793
