,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,110853,0.989236,,,,,
1,123353,0.989292,,,,,
2,135853,0.989181,,,,,
3,148353,0.989181,,,,,
4,160853,0.988877,,,,,
5,173353,0.988655,,,,,
0,153327,,0.968124,,,,
1,165827,,0.968179,,,,
2,178327,,0.968069,,,,
3,190827,,0.968041,,,,
4,203327,,0.967737,,,,
5,215827,,0.967543,,,,
0,212115,,,0.928528,,,
1,224615,,,0.928556,,,
2,237115,,,0.928417,,,
3,249615,,,0.928362,,,
4,262115,,,0.927947,,,
5,274615,,,0.927836,,,
0,286301,,,,0.863614,,
1,298801,,,,0.863614,,
2,311301,,,,0.86342,,
3,323801,,,,0.863365,,
4,336301,,,,0.862922,,
5,348801,,,,0.862839,,
0,211693,,,,,0.853071,
0,905455,,,,,,0.0123962
