,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,110853,0.323501,,,,,
1,123353,0.271981,,,,,
2,135853,0.236197,,,,,
3,148353,0.21291,,,,,
4,160853,0.194549,,,,,
5,173353,0.181364,,,,,
0,153327,,0.293797,,,,
1,165827,,0.24973,,,,
2,178327,,0.220429,,,,
3,190827,,0.200194,,,,
4,203327,,0.184448,,,,
5,215827,,0.173018,,,,
0,212115,,,0.255451,,,
1,224615,,,0.221878,,,
2,237115,,,0.199039,,,
3,249615,,,0.182541,,,
4,262115,,,0.170762,,,
5,274615,,,0.161118,,,
0,286301,,,,0.213074,,
1,298801,,,,0.190202,,
2,311301,,,,0.173519,,
3,323801,,,,0.161576,,
4,336301,,,,0.152684,,
5,348801,,,,0.145569,,
0,211693,,,,,0.358479,
0,905455,,,,,,0.0396313
