,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,356216,0.0309631,,,,,
1,368716,0.0306294,,,,,
2,381216,0.0306193,,,,,
3,393716,0.030326,,,,,
4,406216,0.0301642,,,,,
5,418716,0.0300732,,,,,
0,488145,,0.00542005,,,,
1,500645,,0.00542005,,,,
2,513145,,0.00542005,,,,
3,525645,,0.00542005,,,,
4,538145,,0.00539983,,,,
5,550645,,0.00540994,,,,
0,619953,,,0.000232577,,,
1,632453,,,0.000232577,,,
2,644953,,,0.000232577,,,
3,657453,,,0.000232577,,,
4,669953,,,0.000232577,,,
5,682453,,,0.000232577,,,
0,751284,,,,2.02241e-05,,
1,763784,,,,2.02241e-05,,
2,776284,,,,2.02241e-05,,
3,788784,,,,2.02241e-05,,
4,801284,,,,2.02241e-05,,
5,813784,,,,2.02241e-05,,
0,164053,,,,,0.193504,
0,1414394,,,,,,2.02241e-05
