,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,356216,0.00266061,,,,,
1,368716,0.00186043,,,,,
2,381216,0.00121028,,,,,
3,393716,0.00104024,,,,,
4,406216,0.000760175,,,,,
5,418716,0.00074017,,,,,
0,488145,,0.000170039,,,,
1,500645,,0.000100023,,,,
2,513145,,0.000120028,,,,
3,525645,,0.000120028,,,,
4,538145,,9.00207e-05,,,,
5,550645,,0.000100023,,,,
0,619953,,,1.00023e-05,,,
1,632453,,,1.00023e-05,,,
2,644953,,,2.00046e-05,,,
3,657453,,,1.00023e-05,,,
4,669953,,,1.00023e-05,,,
5,682453,,,1.00023e-05,,,
0,751284,,,,0.0,,
1,763784,,,,0.0,,
2,776284,,,,0.0,,
3,788784,,,,0.0,,
4,801284,,,,0.0,,
5,813784,,,,0.0,,
0,164053,,,,,0.195895,
0,1414394,,,,,,1.00023e-05
