,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.994691,,,,
1,75034,0.297599,,,,
2,137534,0.166284,,,,
3,200034,0.12346,,,,
4,262534,0.102193,,,,
5,325034,0.090224,,,,
6,387534,0.0820902,,,,
7,450034,0.072472,,,,
0,869888,,0.00835026,,,
1,869563,,0.00835026,,,
2,743068,,0.0303186,,,
3,625835,,0.039339,,,
4,530527,,0.0778533,,,
5,449642,,0.12745,,,
6,388229,,0.175232,,,
7,334331,,0.240271,,,
8,286085,,0.312042,,,
9,244961,,0.402266,,,
10,223107,,0.467398,,,
11,217389,,0.486645,,,
12,212200,,0.507325,,,
13,210800,,0.513561,,,
14,210424,,0.515561,,,
15,210270,,0.51652,,,
16,209791,,0.516654,,,
17,209655,,0.516654,,,
18,209519,,0.516695,,,
19,209519,,0.516695,,,
0,220527,,,0.501871,,
0,1283483,,,,0.0596889,
1,1166812,,,,0.0593796,
2,1069587,,,,0.0611631,
3,987319,,,,0.0615239,
4,916804,,,,0.0625341,
5,855690,,,,0.0627816,
6,802216,,,,0.0629259,
7,755034,,,,0.0637609,
8,713093,,,,0.0648227,
9,675568,,,,0.0661423,
0,871006,,,,,0.0171644
