,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.990309,,,,
1,75034,0.111149,,,,
2,137534,0.0183415,,,,
3,200034,0.0037903,,,,
4,262534,0.00136011,,,,
5,325034,0.000450036,,,,
6,387534,0.000340027,,,,
7,450034,0.000230018,,,,
0,869736,,0.0,,,
1,869407,,0.0,,,
2,719123,,0.0,,,
3,625278,,0.0,,,
4,529890,,0.0,,,
5,449131,,0.0,,,
6,387898,,2.00016e-05,,,
7,333880,,8.00064e-05,,,
8,285762,,8.00064e-05,,,
9,244968,,9.00072e-05,,,
10,222987,,0.000150012,,,
11,217493,,0.000200016,,,
12,212380,,0.000350028,,,
13,211009,,0.000850068,,,
14,210608,,0.00335027,,,
15,210398,,0.00656052,,,
16,209974,,0.0152012,,,
17,209838,,0.0181815,,,
18,209838,,0.0181815,,,
19,209838,,0.0181815,,,
0,221094,,,0.0181915,,
0,1281643,,,,0.000230018,
1,1165139,,,,0.00025002,
2,1068053,,,,0.00025002,
3,985903,,,,0.000270022,
4,915489,,,,0.000270022,
5,854464,,,,0.00025002,
6,801066,,,,0.000270022,
7,753951,,,,0.000240019,
8,712071,,,,0.000300024,
9,674599,,,,0.000300024,
0,870974,,,,,0.0
